Name: “Table 1 of 1 on page 22 of 23”,Name: “Table 1 of 1 on page 22 of 23”,Name: “Table 1 of 1 on page 22 of 23”,Name: “Table 1 of 1 on page 22 of 23”,Name: “Table 1 of 1 on page 22 of 23”,Name: “Table 1 of 1 on page 22 of 23”,Name: “Table 1 of 1 on page 22 of 23”
Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22,Table: 22
,,,,,,
Appendix B – Outcomes Data,,,,,,
,,,,Fiscal Year,,
Activity/Statistic,Time Frame,2007,2008,2009,2010,2011
NuRide,,,,,,
New Commuters in NuRide,,93,"1,712",670,673,495
Trips Recorded in NuRide,,"6,943","17,915","82,948","96,211","250,616"
Average NuRide trip distance (miles),during fiscal year,19.2,22,22.6,23.9,26.3
# of people matched into carpools,(July 1st-June 30th),"1,187","2,569","1,798","1,433",400
Tons of Emissions reduced,,390,691,"1,137","1,529","3,447"
total VMT reduced for all trips in NuRide,,"219,006","624,782","2,068,668","2,439,474","5,986,902"
# of people matched into carpools,,"1,187","3,756","5,554","6,987","7,387"
# of organizations represented in NuRide,as of June 30th,85,265,329,394,423
Total Commuters in NuRide,,93,"1,805","2,475","3,148","3,643"
Commuter Computers,,,,,,
Commuters in Computer,,N/A,453,173,552,686
,as of June 30th,,,,,
Matches,,N/A,N/A,67,176,279
,during fiscal year,,,,,
Matches Made During Fiscal Year,,N/A,N/A,67,109,103
,(July 1st-June 30th),,,,,
Telework!VA,,,,,,
,during fiscal year,,,,,
# of new contracts,,5,6,7,7,0
,(July 1st-June 30th),,,,,
# of companies with active contracts,,6,18,20,14,10
,as of June 30th,,,,,
# of teleworkers being assisted,,36,322,358,394,772
Guaranteed Ride Program,,,,,,
# of rides given,during fiscal year,567,614,702,556,490
# of new registrations,(July 1st-June 30th),280,388,477,158,220
Vanpools,,,,,,
# of active vanpools,,40,45,48,55,62
# of people in vanpools,as of June 30th,365,407,495,527,613
# of people on waiting list,,0,14,6,1,34
TRAFFIX Annual Report 2012,,,,,,16
