Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”,Name: “Table 1 of 1 on page 27 of 29”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,,,,,,
,,,,APPENDIX,APPENDIX,APPENDIX,,,,,
,"HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004",,
,,"Hampton Roads Injuries by Jurisdiction, 1995-2004","Hampton Roads Injuries by Jurisdiction, 1995-2004","Hampton Roads Injuries by Jurisdiction, 1995-2004","Hampton Roads Injuries by Jurisdiction, 1995-2004","Hampton Roads Injuries by Jurisdiction, 1995-2004","Hampton Roads Injuries by Jurisdiction, 1995-2004","Hampton Roads Injuries by Jurisdiction, 1995-2004",,,
,,,,Number of Injuries,Number of Injuries,,,,,,
,,,,,,,,,,,% change
Jurisdiction,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,1995-2004
Chesapeake,"2,182","2,425","2,356","2,281","2,397","2,198","2,162","2,095","2,106","2,279",4.4%
Franklin,48,43,65,85,74,59,51,31,37,14,-70.8%
Gloucester,423,403,400,447,430,396,347,407,365,360,-14.9%
Hampton,"2,095","2,130","2,127","1,922","1,926","1,833","1,914","1,963","1,961","1,677",-20.0%
Isle of Wight/Smt,419,451,422,372,421,382,381,370,354,341,-18.6%
James City,377,348,350,337,313,324,366,383,385,384,1.9%
Newport News,"2,604","2,728","2,573","2,584","2,492","2,241","2,212","2,287","2,279","2,532",-2.8%
Norfolk,"4,123","3,600","3,633","3,400","3,137","3,008","2,906","3,062","3,053","2,951",-28.4%
Poquoson,21,42,50,34,41,25,58,54,35,30,42.9%
Portsmouth,"1,353","1,357","1,403","1,301","1,338","1,269","1,111","1,209","1,274","1,265",-6.5%
Southampton,338,320,271,255,266,284,260,219,262,263,-22.2%
Suffolk,"1,111","1,078","1,046","1,109",995,880,"1,006",941,"1,033","1,066",-4.1%
Surry,87,85,71,94,84,68,69,60,59,66,-24.1%
Virginia Beach,"4,685","4,362","4,220","4,360","4,431","4,241","4,057","4,009","4,066","3,771",-19.5%
Williamsburg,142,133,127,95,121,103,108,103,119,99,-30.3%
York,631,586,553,658,545,549,555,592,677,717,13.6%
Hampton Roads PDC,"20,639","20,091","19,667","19,334","19,011","17,860","17,563","17,785","18,065","17,815",-13.7%
Virginia,"82,400","82,363","81,866","81,221","81,204","79,806","80,187","78,896","78,842","78,487",-4.7%
HR % of state,25.0%,24.4%,24.0%,23.8%,23.4%,22.4%,21.9%,22.5%,22.9%,22.7%,
United States,"3,465,000","3,483,000","3,348,000","3,192,000","3,236,000","3,189,000","3,033,000","2,926,000","2,889,000","2,788,000",-19.5%
Sources:,"NHTSA, Virginia Traffic Crash Facts",,,,,,,,,,
