Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”,Name: “Table 1 of 1 on page 28 of 29”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,
,,,,APPENDIX,APPENDIX,APPENDIX,,,,,
,"HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004",,
,"Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004","Hampton Roads Alcohol-Related Fatalities by Jurisdiction, 1995-2004",,
,,,Number of Alcohol Related Fatalities,Number of Alcohol Related Fatalities,Number of Alcohol Related Fatalities,Number of Alcohol Related Fatalities,,,,,
,,,,,,,,,,,% change
Jurisdiction,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,1995-2004
Chesapeake,4,6,1,8,3,5,10,7,6,3,-25.0%
Franklin,0,0,0,0,0,2,0,0,0,0,0.0%
Gloucester,2,1,2,3,1,1,4,3,2,2,0.0%
Hampton,1,4,0,4,5,2,4,8,5,10,900.0%
Isle of Wight/Smt,2,4,3,3,3,1,3,1,6,3,50.0%
James City,1,1,0,0,4,2,1,2,1,2,100.0%
Newport News,10,5,5,4,5,2,2,5,9,3,-70.0%
Norfolk,11,9,4,5,9,7,8,5,6,5,-54.5%
Poquoson,0,0,0,0,0,0,0,0,0,0,0.0%
Portsmouth,2,3,5,6,1,2,3,6,6,3,50.0%
Southampton,2,3,1,3,4,4,3,1,2,4,100.0%
Suffolk,4,5,4,9,2,2,6,8,1,5,25.0%
Surry,1,3,1,1,1,3,0,0,0,0,-100.0%
Virginia Beach,7,12,9,6,14,11,16,13,17,11,57.1%
Williamsburg,0,0,0,1,0,0,0,0,0,0,0.0%
York,6,0,3,3,2,3,3,3,5,3,-50.0%
Hampton Roads PDC,53,56,38,56,54,47,63,62,66,54,1.9%
Virginia,360,346,302,336,364,355,358,375,361,343,-4.7%
HR % of state,14.7%,16.2%,12.6%,16.7%,14.8%,13.2%,17.6%,16.5%,18.3%,15.7%,
United States,"17,732","17,749","16,711","16,673","16,572","17,380","17,448","17,524","17,105","16,694",-5.9%
Sources:,"NHTSA, Virginia Traffic Crash Facts",,,,,,,,,,
