Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”,Name: “Table 1 of 1 on page 26 of 29”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,
,,,,APPENDIX,APPENDIX,APPENDIX,,,,,
,"HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004","HAMPTON ROADS CRASH DATA, 1995-2004",,
,,"Hampton Roads Crashes by Jurisdiction, 1995-2004","Hampton Roads Crashes by Jurisdiction, 1995-2004","Hampton Roads Crashes by Jurisdiction, 1995-2004","Hampton Roads Crashes by Jurisdiction, 1995-2004","Hampton Roads Crashes by Jurisdiction, 1995-2004","Hampton Roads Crashes by Jurisdiction, 1995-2004","Hampton Roads Crashes by Jurisdiction, 1995-2004",,,
,,,,Number of Crashes,Number of Crashes,,,,,,
,,,,,,,,,,,% change
Jurisdiction,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,1995-2004
Chesapeake,"3,063","3,331","3,281","3,251","3,373","3,193","3,104","3,141","3,274","3,594",17.3%
Franklin,81,76,136,120,117,107,110,74,75,47,-42.0%
Gloucester,475,470,469,529,533,490,466,494,505,475,0.0%
Hampton,"3,288","3,210","3,271","2,950","3,059","3,050","3,158","3,663","4,115","3,862",17.5%
Isle of Wight,492,519,480,526,488,517,516,568,567,592,20.3%
James City,482,532,582,552,518,499,513,558,656,650,34.9%
Newport News,"3,759","3,890","3,887","3,964","3,998","3,867","3,750","3,861","3,900","4,211",12.0%
Norfolk,"6,348","6,051","5,892","5,855","5,779","5,542","5,359","5,705","5,810","5,703",-10.2%
Poquoson,57,75,95,87,76,80,93,91,81,86,50.9%
Portsmouth,"1,710","1,701","1,796","1,624","1,778","1,729","1,691","1,928","2,061","2,036",19.1%
Southampton,370,350,303,327,333,320,314,277,376,410,10.8%
Suffolk,"1,148","1,177","1,214","1,283","1,324","1,204","1,337","1,379","1,566","1,678",46.2%
Surry,112,119,100,138,117,113,111,107,115,117,4.5%
Virginia Beach,"7,487","7,524","7,195","7,591","7,837","7,679","7,788","8,478","8,653","8,324",11.2%
Williamsburg,250,270,222,220,238,185,215,222,204,186,-25.6%
York,854,854,866,907,894,857,868,896,"1,089","1,137",33.1%
Hampton Roads PDC,"29,976","30,149","29,789","29,924","30,462","29,432","29,393","31,442","33,047","33,108",10.4%
Virginia,"127,126","131,088","129,980","136,138","139,573","141,650","144,585","147,737","154,848","153,907",21.1%
HR % of state,23.6%,23.0%,22.9%,22.0%,21.8%,20.8%,20.3%,21.3%,21.3%,21.5%,
United States,"6,699,000","6,770,000","6,624,000","6,335,000","6,279,000","6,394,000","6,323,000","6,316,000","6,289,000","6,143,000",-8.3%
Sources:,"National Highway Traffic Safety Administration (NHTSA), Virginia Traffic Crash Facts","National Highway Traffic Safety Administration (NHTSA), Virginia Traffic Crash Facts","National Highway Traffic Safety Administration (NHTSA), Virginia Traffic Crash Facts","National Highway Traffic Safety Administration (NHTSA), Virginia Traffic Crash Facts","National Highway Traffic Safety Administration (NHTSA), Virginia Traffic Crash Facts",,,,,,
,,"Hampton Roads Fatalities by Jurisdiction, 1995-2004","Hampton Roads Fatalities by Jurisdiction, 1995-2004","Hampton Roads Fatalities by Jurisdiction, 1995-2004","Hampton Roads Fatalities by Jurisdiction, 1995-2004","Hampton Roads Fatalities by Jurisdiction, 1995-2004","Hampton Roads Fatalities by Jurisdiction, 1995-2004","Hampton Roads Fatalities by Jurisdiction, 1995-2004",,,
,,,,Number of Fatalities,Number of Fatalities,,,,,,
,,,,,,,,,,,% change
Jurisdiction,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,1995-2004
Chesapeake,21,13,21,26,10,12,20,19,17,13,-38.1%
Franklin,0,0,0,0,0,2,1,0,0,0,0.0%
Gloucester,5,4,4,5,2,3,9,5,4,3,-40.0%
Hampton,3,10,5,4,13,5,6,10,9,14,366.7%
Isle of Wight/Smt,4,11,7,12,9,6,7,5,7,7,75.0%
James City,2,4,7,6,4,7,4,6,5,6,200.0%
Newport News,16,16,15,16,11,11,10,11,13,12,-25.0%
Norfolk,24,17,27,20,24,22,25,10,15,13,-45.8%
Poquoson,0,1,0,0,0,0,0,0,0,0,0.0%
Portsmouth,5,9,11,12,7,4,5,9,7,11,120.0%
Southampton,13,13,9,7,8,8,7,3,4,8,-38.5%
Suffolk,9,12,8,24,13,13,17,20,8,16,77.8%
Surry,3,4,4,4,1,6,1,1,2,1,-66.7%
Virginia Beach,20,31,24,20,24,24,31,27,27,22,10.0%
Williamsburg,0,0,0,2,1,0,0,1,0,0,0.0%
York,17,0,8,11,3,9,10,9,11,5,-70.6%
Hampton Roads PDC,142,145,150,169,130,132,153,136,129,131,-7.7%
Virginia,900,869,981,934,877,930,935,913,942,922,2.4%
HR % of state,15.8%,16.7%,15.3%,18.1%,14.8%,14.2%,16.4%,14.9%,13.7%,14.2%,
United States,"41,817","42,065","42,013","41,501","41,717","41,945","42,196","43,005","42,884","42,636",2.0%
Sources:,"NHTSA, Virginia Traffic Crash Facts",,,,,,,,,,
,,,,,,,,,,,Hampton Roads
,,,,,20,,,,,Regional Safety Study,Regional Safety Study
