Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”,Name: “Table 1 of 1 on page 136 of 138”
Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,131
,York,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,"1,236","1,570","1,972",,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,"4,942","6,355","8,036",,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"7,396","9,685","9,640",,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,"3,215","4,870","5,090",,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,939,"1,430","1,984",,
,Other Times,Sample,n.a.,n.a.,"3,229","4,030","4,144",,
,,,n.a.,n.a.,"20,957","27,940","30,866",,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,6%,6%,6%,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,24%,23%,26%,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,35%,35%,31%,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,15%,17%,16%,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,4%,5%,6%,,
Other Hours,,Sample,n.a.,n.a.,15%,14%,13%,,
,,,n.a.,n.a.,100%,100%,100%,,
Place of Work,,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"6,460","6,697","9,008",,
,Work Outside County of Residence,Sample,n.a.,n.a.,"14,960","21,939","23,196",,
,,,n.a.,n.a.,"21,420","28,636","32,204",,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,30%,23%,28%,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,70%,77%,72%,,
,,,n.a.,n.a.,100%,100%,100%,,
Footnotes,,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
