Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”,Name: “Table 1 of 1 on page 54 of 138”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,49
,Currituck,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"2,164","3,897","5,038","6,902","8,880",,
Persons per Household,Persons per Household,Full,3.17,2.80,2.68,2.61,2.64,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"2,275","4,170","6,701","8,857","12,241",,
,Armed Forces,Sample,76,233,161,208,331,,
,Not in Labor Force,Sample,"2,542","3,942","3,796","5,037","6,174",,
,,,"4,893","8,345","10,658","14,102","18,746",,
,"Civilian Labor Force, % of labor force",Sample,97%,95%,98%,98%,97%,,
,"Armed Forces, % of labor force",Sample,3%,5%,2%,2%,3%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,48%,53%,64%,64%,67%,,
,"Not in Labor Force, % of pop. age 16+",Sample,52%,47%,36%,36%,33%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,404,327,292,303,204,,
,Occ'd Housing Units with Vehicles,Sample,"1,760","3,570","4,746","6,599","9,182",,
,,,"2,164","3,897","5,038","6,902","9,386",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,19%,8%,6%,4%,2%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,81%,92%,94%,96%,98%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
