Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”,Name: “Table 1 of 1 on page 101 of 138”
Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101,Table: 101
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,96
,Poquoson,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,362,475,n.a.,,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,"1,308","1,190",n.a.,,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"2,066","1,985",n.a.,,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,824,865,n.a.,,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,278,265,n.a.,,
,Other Times,Sample,n.a.,n.a.,732,707,n.a.,,
,,,n.a.,n.a.,"5,570","5,487",n.a.,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,6%,9%,n.a.,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,23%,22%,n.a.,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,37%,36%,n.a.,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,15%,16%,n.a.,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,5%,5%,n.a.,,
Other Hours,,Sample,n.a.,n.a.,13%,13%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Place of Work,,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"1,136","1,246",n.a.,,
,Work Outside County of Residence,Sample,n.a.,n.a.,"4,564","4,412",n.a.,,
,,,n.a.,n.a.,"5,700","5,658",n.a.,,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,20%,22%,n.a.,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,80%,78%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Footnotes,,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
