Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”,Name: “Table 1 of 1 on page 96 of 138”
Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96,Table: 96
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,91
,Norfolk,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,"12,829","11,990","12,655",,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,"26,251","26,610","26,836",,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"26,582","26,410","25,210",,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,"15,114","14,345","17,036",,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,"5,512","5,265","6,046",,
,Other Times,Sample,n.a.,n.a.,"20,560","23,170","26,177",,
,,,,,"106,848","107,790","113,960",,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,12%,11%,11%,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,25%,25%,24%,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,25%,25%,22%,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,14%,13%,15%,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,5%,5%,5%,,
Other Hours,,Sample,n.a.,n.a.,19%,21%,23%,,
,,,,,100%,100%,100%,,
Place of Work,,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"100,821","74,572","82,901",,
,Work Outside County of Residence,Sample,n.a.,n.a.,"29,728","37,511","40,805",,
,,,,,"130,549","112,083","123,706",,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,77%,67%,67%,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,23%,33%,33%,,
,,,,,100%,100%,100%,,
Footnotes,,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
