Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”,Name: “Table 1 of 1 on page 95 of 138”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,90
,Norfolk,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"61,599","73,125","74,835","87,298",,
,"Carpooled (car, truck, van)",Sample,n.a.,"25,530","18,095","15,920","12,974",,
,Public Transportation (excluding taxi),Sample,n.a.,"10,110","5,841","4,803","4,500",,
,Taxicab,Sample,n.a.,116,236,340,325,,
,Walked,Sample,n.a.,"14,997","6,310","7,595","6,614",,
,Motorcycle,Sample,n.a.,685,486,215,318,,
,Bicycle,Sample,n.a.,"1,038","1,051",510,768,,
,Other Means,Sample,n.a.,"11,758","1,704","3,580","1,163",,
,Worked at Home,Sample,n.a.,"1,856","23,701","4,285","9,746",,
,,,n.a.,"127,689","130,549","112,083","123,706",,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,48%,56%,67%,71%,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,20%,14%,14%,10%,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,7.9%,4.5%,4.3%,3.6%,,
Taxicab,,Sample,n.a.,0.09%,0.18%,0.30%,0.26%,,
Walked,,Sample,n.a.,11.7%,4.8%,6.8%,5.3%,,
Motorcycle,,Sample,n.a.,0.5%,0.4%,0.2%,0.3%,,
Bicycle,,Sample,n.a.,0.8%,0.8%,0.5%,0.6%,,
Other Means,,Sample,n.a.,9.2%,1.3%,3.2%,0.9%,,
Worked at Home,,Sample,n.a.,1.5%,18.2%,3.8%,7.9%,,
,,,n.a.,100%,100%,100%,100%,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,20.3,20.6,21.7,21.4,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,"26,223","13,354","16,424","16,619",,
,10 to 44 minutes,Sample,n.a.,"89,099","85,832","83,030","87,640",,
,45 or more minutes,Sample,n.a.,"10,560","7,662","8,343","9,701",,
,,,n.a.,"125,882","106,848","107,797","113,960",,
Less than 10 minutes,,Sample,n.a.,21%,12%,15%,15%,,
10 to 44 minutes,,Sample,n.a.,71%,80%,77%,77%,,
45 or more minutes,,Sample,n.a.,8%,7%,8%,9%,,
,,,n.a.,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
