Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”,Name: “Table 1 of 1 on page 105 of 138”
Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105,Table: 105
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,100
,Portsmouth,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"24,828","30,859","31,995","34,019",,
,"Carpooled (car, truck, van)",Sample,n.a.,"11,114","8,168","6,875","4,059",,
,Public Transportation (excluding taxi),Sample,n.a.,"2,124","1,496","1,230",743,,
,Taxicab,Sample,n.a.,81,154,75,0,,
,Walked,Sample,n.a.,"2,234","1,814","1,440","1,297",,
,Motorcycle,Sample,n.a.,176,120,70,40,,
,Bicycle,Sample,n.a.,355,409,265,179,,
,Other Means,Sample,n.a.,332,376,780,488,,
,Worked at Home,Sample,n.a.,332,994,"1,200","2,363",,
,,,n.a.,"41,576","44,390","43,930","43,188",,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,60%,70%,73%,79%,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,27%,18%,16%,9%,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,5.1%,3.4%,2.8%,1.7%,,
Taxicab,,Sample,n.a.,0.19%,0.35%,0.17%,0.00%,,
Walked,,Sample,n.a.,5.4%,4.1%,3.3%,3.0%,,
Motorcycle,,Sample,n.a.,0.4%,0.3%,0.2%,0.1%,,
Bicycle,,Sample,n.a.,0.9%,0.9%,0.6%,0.4%,,
Other Means,,Sample,n.a.,0.8%,0.8%,1.8%,1.1%,,
Worked at Home,,Sample,n.a.,0.8%,2.2%,2.7%,5.5%,,
,,,n.a.,100%,100%,100%,100%,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,21.7,21.3,23.8,23.6,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,"4,667","5,034","4,744","4,773",,
,10 to 44 minutes,Sample,n.a.,"32,892","34,194","33,898","31,809",,
,45 or more minutes,Sample,n.a.,"3,740","4,168","4,080","4,243",,
,,,n.a.,"41,299","43,396","42,722","40,825",,
Less than 10 minutes,,Sample,n.a.,11%,12%,11%,12%,,
10 to 44 minutes,,Sample,n.a.,80%,79%,79%,78%,,
45 or more minutes,,Sample,n.a.,9%,10%,10%,10%,,
,,,n.a.,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
