Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”,Name: “Table 1 of 1 on page 48 of 138”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,43
"Transportation Related Census Data, Chesapeake, 1970-2010","Transportation Related Census Data, Chesapeake, 1970-2010","Transportation Related Census Data, Chesapeake, 1970-2010","Transportation Related Census Data, Chesapeake, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,,,,,,,,,
,Chesapeake,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"89,580","114,486","151,976","199,184","222,209",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,2.5%,2.9%,2.7%,1.1%,,
In Households,,Full,"88,625","113,087","149,302","195,070","218,488",,
In Group Quarters,,Full,955,"1,399","2,674","4,114","3,721",,
,,,"89,580","114,486","151,976","199,184","222,209",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,198,567,"1,053",716,650,,
,In Other Institutional Facilities,Mixed,471,691,"1,179","2,489","2,608",,
,In College/University Student Housing,Mixed,0,0,0,0,0,,
,In Military Quarters,Mixed,120,120,400,318,308,,
,In Other Noninstitutional Facilities,Mixed,130,11,42,591,155,,
,Total 2,,919,"1,389","2,674","4,114","3,721",,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,917,"2,144","2,608",,
,In Other Institutional Facilities,Full,n.a.,n.a.,262,345,0,,
,,,,,"1,179","2,489","2,608",,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"34,605","36,559","43,629","57,283","57,521",,
Ages 18 thru 64,,Full,"49,813","69,839","95,503","124,057","141,542",,
Ages 65 thru 74,,Full,"3,446","5,299","8,250","10,227","13,382",,
Age 75 and Over,,Full,"1,716","2,789","4,594","7,617","9,764",,
,,,"89,580","114,486","151,976","199,184","222,209",,
Ages 0 thru 17,,Full,39%,32%,29%,29%,26%,,
Ages 18 thru 64,,Full,56%,61%,63%,62%,64%,,
Ages 65 thru 74,,Full,4%,5%,5%,5%,6%,,
Age 75 and Over,,Full,2%,2%,3%,4%,4%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
