Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”,Name: “Table 1 of 1 on page 81 of 138”
Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81,Table: 81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,76,
,James City,,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,971,"1,290","1,399",,,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,"3,038","3,850","5,487",,,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"5,652","6,500","8,027",,,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,"3,581","4,110","6,567",,,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,"1,098","1,810","1,820",,,
,Other Times,Sample,n.a.,n.a.,"2,818","3,340","5,293",,,
,,,,,"17,158","20,900","28,593",,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,6%,6%,5%,,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,18%,18%,19%,,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,33%,31%,28%,,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,21%,20%,23%,,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,6%,9%,6%,,,
Other Hours,,Sample,n.a.,n.a.,16%,16%,19%,,,
,,,,,100%,100%,100%,,,
Place of Work,,,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"2,026","9,337","12,781",,,
,Work Outside County of Residence,Sample,n.a.,n.a.,"15,666","12,585","17,379",In  light  of  the  volatility  of,In  light  of  the  volatility  of,In  light  of  the  volatility  of
,,,,,"17,692","21,922","30,160",these,work,location
,,,,,,,,"numbers,  note  that  some","numbers,  note  that  some","numbers,  note  that  some"
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,11%,43%,42%,employers  in  James  City,employers  in  James  City,employers  in  James  City
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,89%,57%,58%,use,“Williamsburg”,as
,,,,,100%,100%,100%,their address.,their address.,
Footnotes,,,,,,,,,,
1Source:,,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,,
