Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”,Name: “Table 1 of 1 on page 115 of 138”
Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,110
,Suffolk,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"11,700","15,668","22,815","34,125",,
,"Carpooled (car, truck, van)",Sample,n.a.,"5,388","4,555","3,905","3,307",,
,Public Transportation (excluding taxi),Sample,n.a.,642,349,255,139,,
,Taxicab,Sample,n.a.,69,81,80,16,,
,Walked,Sample,n.a.,787,744,365,219,,
,Motorcycle,Sample,n.a.,45,15,20,33,,
,Bicycle,Sample,n.a.,39,79,25,93,,
,Other Means,Sample,n.a.,153,223,440,384,,
,Worked at Home,Sample,n.a.,277,541,480,"1,002",,
,,,n.a.,"19,100","22,255","28,385","39,318",,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,61%,70%,80%,87%,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,28%,20%,14%,8%,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,3.4%,1.6%,0.9%,0.4%,,
Taxicab,,Sample,n.a.,0.36%,0.36%,0.28%,0.04%,,
Walked,,Sample,n.a.,4.1%,3.3%,1.3%,0.6%,,
Motorcycle,,Sample,n.a.,0.2%,0.1%,0.1%,0.1%,,
Bicycle,,Sample,n.a.,0.2%,0.4%,0.1%,0.2%,,
Other Means,,Sample,n.a.,0.8%,1.0%,1.6%,1.0%,,
Worked at Home,,Sample,n.a.,1.5%,2.4%,1.7%,2.5%,,
,,,n.a.,100%,100%,100%,100%,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,24.4,24.1,27.3,28.3,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,"2,546","2,993","2,494","3,207",,
,10 to 44 minutes,Sample,n.a.,"13,826","15,327","20,553","27,002",,
,45 or more minutes,Sample,n.a.,"2,956","3,394","4,844","8,107",,
,,,n.a.,"19,328","21,714","27,891","38,316",,
Less than 10 minutes,,Sample,n.a.,13%,14%,9%,8%,,
10 to 44 minutes,,Sample,n.a.,72%,71%,74%,70%,,
45 or more minutes,,Sample,n.a.,15%,16%,17%,21%,,
,,,n.a.,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
