Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”,Name: “Table 1 of 1 on page 86 of 138”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,81
,Mathews,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,599,445,n.a.,,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,587,680,n.a.,,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"1,079","1,210",n.a.,,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,594,555,n.a.,,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,189,160,n.a.,,
,Other Times,Sample,n.a.,n.a.,625,800,n.a.,,
,,,n.a.,n.a.,"3,673","3,850",n.a.,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,16%,12%,n.a.,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,16%,18%,n.a.,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,29%,31%,n.a.,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,16%,14%,n.a.,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,5%,4%,n.a.,,
Other Hours,Other Hours,Sample,n.a.,n.a.,17%,21%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Place of Work,Place of Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"1,749","1,575",n.a.,,
,Work Outside County of Residence,Sample,n.a.,n.a.,"2,108","2,445",n.a.,,
,,,n.a.,n.a.,"3,857","4,020",n.a.,,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,45%,39%,n.a.,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,55%,61%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Footnotes,Footnotes,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
