Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”,Name: “Table 1 of 1 on page 109 of 138”
Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109,Table: 109
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,104
,Southampton,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"4,920","5,774","6,009","6,279","6,719",,
Persons per Household,Persons per Household,Full,3.64,3.06,2.69,2.53,2.53,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"6,312","7,602","7,913","7,460",n.a.,,
,Armed Forces,Sample,0,12,51,40,n.a.,,
,Not in Labor Force,Sample,"6,041","6,801","5,983","6,483",n.a.,,
,,,"12,353","14,415","13,947","13,983",n.a.,,
,"Civilian Labor Force, % of labor force",Sample,100%,100%,99%,99%,n.a.,,
,"Armed Forces, % of labor force",Sample,0%,0%,1%,1%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
,"In Labor Force, % of pop. age 16+",Sample,51%,53%,57%,54%,n.a.,,
,"Not in Labor Force, % of pop. age 16+",Sample,49%,47%,43%,46%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,"1,049",686,652,570,n.a.,,
,Occ'd Housing Units with Vehicles,Sample,"3,871","5,088","5,357","5,709",n.a.,,
,,,"4,920","5,774","6,009","6,279",n.a.,,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,21%,12%,11%,9%,n.a.,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,79%,88%,89%,91%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
