Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”,Name: “Table 1 of 1 on page 121 of 138”
Table: 121,Table: 121,Table: 121,Table: 121,Table: 121,Table: 121,Table: 121,Table: 121,Table: 121,Table: 121
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,116
,Surry,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,503,525,n.a.,,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,630,690,n.a.,,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,704,780,n.a.,,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,267,345,n.a.,,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,47,75,n.a.,,
,Other Times,Sample,n.a.,n.a.,424,632,n.a.,,
,,,n.a.,n.a.,"2,575","3,047",n.a.,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,20%,17%,n.a.,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,24%,23%,n.a.,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,27%,26%,n.a.,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,10%,11%,n.a.,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,2%,2%,n.a.,,
Other Hours,Other Hours,Sample,n.a.,n.a.,16%,21%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Place of Work,Place of Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"1,079",936,n.a.,,
,Work Outside County of Residence,Sample,n.a.,n.a.,"1,543","2,211",n.a.,,
,,,n.a.,n.a.,"2,622","3,147",n.a.,,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,41%,30%,n.a.,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,59%,70%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Footnotes,Footnotes,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
