Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”,Name: “Table 1 of 1 on page 134 of 138”
Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134,Table: 134
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,129
,York,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,n.a.,"10,895","14,474","20,000","24,006",,
Persons per Household,Persons per Household,Full,n.a.,3.15,2.90,2.78,2.70,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,n.a.,"14,822","19,816","26,168","30,514",,
,Armed Forces,Sample,n.a.,"3,293","2,797","3,501","3,482",,
,Not in Labor Force,Sample,n.a.,"7,523","8,821","12,186","16,965",,
,,,n.a.,"25,638","31,434","41,855","50,961",,
,"Civilian Labor Force, % of labor force",Sample,n.a.,82%,88%,88%,90%,,
,"Armed Forces, % of labor force",Sample,n.a.,18%,12%,12%,10%,,
,,,n.a.,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,n.a.,71%,72%,71%,67%,,
,"Not in Labor Force, % of pop. age 16+",Sample,n.a.,29%,28%,29%,33%,,
,,,n.a.,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,n.a.,360,485,523,535,,
,Occ'd Housing Units with Vehicles,Sample,n.a.,"10,535","13,989","19,477","24,024",,
,,,n.a.,"10,895","14,474","20,000","24,559",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,n.a.,3%,3%,3%,2%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,n.a.,97%,97%,97%,98%,,
,,,n.a.,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
