Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”,Name: “Table 1 of 1 on page 100 of 138”
Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100,Table: 100
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,95
,Poquoson,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"2,725","4,683","4,970",n.a.,,
,"Carpooled (car, truck, van)",Sample,n.a.,"1,035",708,399,n.a.,,
,Public Transportation (excluding taxi),Sample,n.a.,47,24,10,n.a.,,
,Taxicab,Sample,n.a.,0,0,0,n.a.,,
,Walked,Sample,n.a.,60,54,45,n.a.,,
,Motorcycle,Sample,n.a.,59,9,4,n.a.,,
,Bicycle,Sample,n.a.,4,6,0,n.a.,,
,Other Means,Sample,n.a.,23,86,45,n.a.,,
,Worked at Home,Sample,n.a.,62,130,180,n.a.,,
,,,n.a.,"4,015","5,700","5,653",n.a.,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,68%,82%,88%,n.a.,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,26%,12%,7%,n.a.,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,1.2%,0.4%,0.2%,n.a.,,
Taxicab,,Sample,n.a.,0.00%,0.00%,0.00%,n.a.,,
Walked,,Sample,n.a.,1.5%,0.9%,0.8%,n.a.,,
Motorcycle,,Sample,n.a.,1.5%,0.2%,0.1%,n.a.,,
Bicycle,,Sample,n.a.,0.1%,0.1%,0.0%,n.a.,,
Other Means,,Sample,n.a.,0.6%,1.5%,0.8%,n.a.,,
Worked at Home,,Sample,n.a.,1.5%,2.3%,3.2%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,22.0,20.8,24.0,n.a.,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,541,836,719,n.a.,,
,10 to 44 minutes,Sample,n.a.,"3,173","4,313","4,161",n.a.,,
,45 or more minutes,Sample,n.a.,310,421,600,n.a.,,
,,,n.a.,"4,024","5,570","5,480",n.a.,,
Less than 10 minutes,,Sample,n.a.,13%,15%,13%,n.a.,,
10 to 44 minutes,,Sample,n.a.,79%,77%,76%,n.a.,,
45 or more minutes,,Sample,n.a.,8%,8%,11%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
