Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”,Name: “Table 1 of 1 on page 56 of 138”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,51
,Currituck,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,757,910,"1,421",,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,"1,350","2,160","2,505",,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"1,886","2,440","2,827",,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,"1,043","1,070","1,494",,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,182,404,455,,
,Other Times,Sample,n.a.,n.a.,"1,000","1,419","1,740",,
,,,n.a.,n.a.,"6,218","8,403","10,442",,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,12%,11%,14%,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,22%,26%,24%,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,30%,29%,27%,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,17%,13%,14%,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,3%,5%,4%,,
Other Hours,Other Hours,Sample,n.a.,n.a.,16%,17%,17%,,
,,,n.a.,n.a.,100%,100%,100%,,
Place of Work,Place of Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"2,495","2,881","3,858",,
,Work Outside County of Residence,Sample,n.a.,n.a.,"3,902","5,722","7,064",,
,,,n.a.,n.a.,"6,397","8,603","10,922",,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,39%,33%,35%,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,61%,67%,65%,,
,,,n.a.,n.a.,100%,100%,100%,,
Footnotes,Footnotes,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
