Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”,Name: “Table 1 of 1 on page 125 of 138”
Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125,Table: 125
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,120
,Virginia Beach,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"86,788","167,265","182,640","188,385",,
,"Carpooled (car, truck, van)",Sample,n.a.,"27,282","25,531","24,035","19,744",,
,Public Transportation (excluding taxi),Sample,n.a.,"2,107","1,534","1,598","1,772",,
,Taxicab,Sample,n.a.,68,103,50,127,,
,Walked,Sample,n.a.,"7,837","7,373","4,370","5,790",,
,Motorcycle,Sample,n.a.,869,603,275,399,,
,Bicycle,Sample,n.a.,612,912,720,"1,689",,
,Other Means,Sample,n.a.,"1,667","3,154","2,795","1,524",,
,Worked at Home,Sample,n.a.,"1,432","6,957","6,165","10,484",,
,,,n.a.,"128,662","213,432","222,648","229,914",,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,67%,78%,82%,82%,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,21%,12%,11%,9%,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,1.6%,0.7%,0.7%,0.8%,,
Taxicab,,Sample,n.a.,0.05%,0.05%,0.02%,0.06%,,
Walked,,Sample,n.a.,6.1%,3.5%,2.0%,2.5%,,
Motorcycle,,Sample,n.a.,0.7%,0.3%,0.1%,0.2%,,
Bicycle,,Sample,n.a.,0.5%,0.4%,0.3%,0.7%,,
Other Means,,Sample,n.a.,1.3%,1.5%,1.3%,0.7%,,
Worked at Home,,Sample,n.a.,1.1%,3.3%,2.8%,4.6%,,
,,,n.a.,100%,100%,100%,100%,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,21.9,22.7,23.9,22.8,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,"15,950","23,819","21,814","23,250",,
,10 to 44 minutes,Sample,n.a.,"101,346","161,382","175,605","178,672",,
,45 or more minutes,Sample,n.a.,"9,812","21,274","19,064","17,508",,
,,,n.a.,"127,108","206,475","216,483","219,430",,
Less than 10 minutes,,Sample,n.a.,13%,12%,10%,11%,,
10 to 44 minutes,,Sample,n.a.,80%,78%,81%,81%,,
45 or more minutes,,Sample,n.a.,8%,10%,9%,8%,,
,,,n.a.,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
