Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”,Name: “Table 1 of 1 on page 51 of 138”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,46
,Chesapeake,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,"6,245","8,065","10,339",,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,"18,297","22,335","23,334",,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"23,155","29,915","29,276",,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,"11,007","14,860","16,422",,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,"3,193","3,900","5,109",,
,Other Times,Sample,n.a.,n.a.,"12,450","15,595","21,835",,
,,,,,"74,347","94,670","106,315",,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,8%,9%,10%,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,25%,24%,22%,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,31%,32%,28%,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,15%,16%,15%,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,4%,4%,5%,,
Other Hours,,Sample,n.a.,n.a.,17%,16%,21%,,
,,,,,100%,100%,100%,,
Place of Work,,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"28,192","38,680","46,649",,
,Work Outside County of Residence,Sample,n.a.,n.a.,"47,418","58,297","62,763",,
,,,,,"75,610","96,977","109,412",,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,37%,40%,43%,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,63%,60%,57%,,
,,,,,100%,100%,100%,,
Footnotes,,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
