Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”,Name: “Table 1 of 1 on page 43 of 138”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,38
"Vehicles in Households, Large MSAs (pop. 1-3 million), 2010","Vehicles in Households, Large MSAs (pop. 1-3 million), 2010","Vehicles in Households, Large MSAs (pop. 1-3 million), 2010","Vehicles in Households, Large MSAs (pop. 1-3 million), 2010","Vehicles in Households, Large MSAs (pop. 1-3 million), 2010","Vehicles in Households, Large MSAs (pop. 1-3 million), 2010","Vehicles in Households, Large MSAs (pop. 1-3 million), 2010",,,,
(3 Year Sample: 2009-2011),(3 Year Sample: 2009-2011),,,,,,,,,
Source: HRTPO analysis of US Census data,Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: ACS_11_3YR_DP04.xlsx,Source file: ACS_11_3YR_DP04.xlsx,,,,,,,,,
,,,Occupied,Occupied,Occupied,Occupied,Zero-,,,
,,,Housing,Housing,Housing,Housing,Vehicle,Occupied,,
,,Occupied  Units with  Units with  Units with  Units with,Occupied  Units with  Units with  Units with  Units with,Occupied  Units with  Units with  Units with  Units with,Occupied  Units with  Units with  Units with  Units with,Occupied  Units with  Units with  Units with  Units with,Occupied,Housing,,
,"Popuation,",Housing,Zero,One,Two,Three+,Housing  Units with,,,
Large MSAs,2010,Units,Vehicles,Vehicle,Vehicles,Vehicles,Units,Vehicles,,
Austin,"1,716,289","649,827","32,709","232,392","276,496","108,230",5%,95%,,
Baltimore,"2,710,489","1,022,038","118,504","337,816","370,053","195,665",12%,88%,,
Birmingham,"1,128,047","433,751","26,874","142,328","164,308","100,241",6%,94%,,
Buffalo,"1,135,509","466,224","61,590","178,369","165,554","60,711",13%,87%,,
Charlotte,"1,758,038","667,115","40,641","225,249","272,783","128,442",6%,94%,,
Cincinnati,"2,130,151","812,020","65,828","258,961","314,317","172,914",8%,92%,,
Cleveland,"2,077,240","844,591","88,974","313,199","309,348","133,070",11%,89%,,
Columbus,"1,836,536","709,639","51,409","241,590","283,239","133,401",7%,93%,,
Denver,"2,543,482","997,755","65,338","335,066","392,960","204,391",7%,93%,,
HAMPTON ROADS,"1,671,683","617,894","38,924","195,727","240,545","142,698",6%,94%,,
Hartford,"1,212,381","469,280","41,277","156,094","180,031","91,878",9%,91%,,
Indianapolis,"1,756,241","669,827","41,984","225,958","275,584","126,301",6%,94%,,
Jacksonville,"1,345,596","505,800","32,527","182,459","210,632","80,182",6%,94%,,
Kansas City,"2,035,334","793,657","49,736","261,633","317,617","164,671",6%,94%,,
Las Vegas,"1,951,269","701,868","56,802","271,237","267,090","106,739",8%,92%,,
Louisville,"1,283,566","503,889","41,474","170,313","190,033","102,069",8%,92%,,
Memphis,"1,316,100","478,385","39,520","176,326","175,378","87,161",8%,92%,,
Milwaukee,"1,555,908","615,533","63,285","223,631","233,045","95,572",10%,90%,,
Nashville,"1,589,934","605,509","32,351","193,813","245,569","133,776",5%,95%,,
New Orleans,"1,167,764","454,532","46,934","177,250","163,485","66,863",10%,90%,,
Oklahoma City,"1,252,987","479,789","25,422","163,380","192,823","98,164",5%,95%,,
Orlando,"2,134,411","762,102","42,646","287,992","315,678","115,786",6%,94%,,
Pittsburgh,"2,356,285","986,270","114,101","354,399","363,032","154,738",12%,88%,,
Portland,"2,226,009","864,818","73,125","284,922","335,665","171,106",8%,92%,,
Providence,"1,600,852","619,939","59,010","225,061","229,631","106,237",10%,90%,,
Raleigh,"1,130,490","423,144","19,662","135,663","179,903","87,916",5%,95%,,
Richmond,"1,258,251","476,077","31,776","147,391","177,385","119,525",7%,93%,,
Rochester,"1,054,323","416,727","41,565","147,604","160,490","67,068",10%,90%,,
Sacramento,"2,149,127","781,039","52,245","261,366","296,877","170,551",7%,93%,,
Salt Lake City,"1,124,197","372,260","20,865","108,321","149,167","93,907",6%,94%,,
San Antonio,"2,142,508","750,639","54,254","258,549","294,716","143,120",7%,93%,,
San Jose,"1,836,911","617,875","31,916","175,201","255,531","155,227",5%,95%,,
St. Louis,"2,812,896","1,111,725","86,672","376,222","432,167","216,664",8%,92%,,
Tampa,"2,783,243","1,109,897","79,322","482,039","415,230","133,306",7%,93%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
