Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”,Name: “Table 1 of 1 on page 129 of 138”
Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129,Table: 129
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,124
,Williamsburg,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"2,399","2,820","3,468","3,619","4,571",,
Persons per Household,Persons per Household,Full,2.47,2.12,2.11,2.07,2.17,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"3,725","4,576","5,230","7,345",n.a.,,
,Armed Forces,Sample,174,52,27,47,n.a.,,
,Not in Labor Force,Sample,"3,937","4,522","5,409","3,559",n.a.,,
,,,"7,836","9,150","10,666","10,951",n.a.,,
,"Civilian Labor Force, % of labor force",Sample,96%,99%,99%,99%,n.a.,,
,"Armed Forces, % of labor force",Sample,4%,1%,1%,1%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
,"In Labor Force, % of pop. age 16+",Sample,50%,51%,49%,68%,n.a.,,
,"Not in Labor Force, % of pop. age 16+",Sample,50%,49%,51%,32%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,367,301,360,370,n.a.,,
,Occ'd Housing Units with Vehicles,Sample,"2,032","2,519","3,108","3,249",n.a.,,
,,,"2,399","2,820","3,468","3,619",n.a.,,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,15%,11%,10%,10%,n.a.,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,85%,89%,90%,90%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
