Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”,Name: “Table 1 of 1 on page 124 of 138”
Table: 124,Table: 124,Table: 124,Table: 124,Table: 124,Table: 124,Table: 124,Table: 124,Table: 124,Table: 124
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,119
,Virginia Beach,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"45,130","85,155","135,566","154,455","165,089",,
Persons per Household,Persons per Household,Full,3.54,2.97,2.82,2.70,2.60,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"50,076","111,803","183,307","203,170","224,089",,
,Armed Forces,Sample,"22,819","24,814","41,938","31,087","23,756",,
,Not in Labor Force,Sample,"39,003","55,148","68,224","87,025","98,492",,
,,,"111,898","191,765","293,469","321,282","346,337",,
,"Civilian Labor Force, % of labor force",Sample,69%,82%,81%,87%,90%,,
,"Armed Forces, % of labor force",Sample,31%,18%,19%,13%,10%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,65%,71%,77%,73%,72%,,
,"Not in Labor Force, % of pop. age 16+",Sample,35%,29%,23%,27%,28%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,"2,449","2,667","5,115","7,254","6,664",,
,Occ'd Housing Units with Vehicles,Sample,"42,680","82,488","130,451","147,201","157,311",,
,,,"45,129","85,155","135,566","154,455","163,975",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,5%,3%,4%,5%,4%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,95%,97%,96%,95%,96%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
