Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”,Name: “Table 1 of 1 on page 114 of 138”
Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,109
,Suffolk,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"13,136","15,742","18,516","23,283","30,868",,
Persons per Household,Persons per Household,Full,3.40,3.00,2.78,2.69,2.70,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"17,691","20,829","24,199","28,933","41,308",,
,Armed Forces,Sample,63,112,384,"1,412","2,213",,
,Not in Labor Force,Sample,"12,362","14,568","14,878","17,386","21,224",,
,,,"30,116","35,509","39,461","47,731","64,745",,
,"Civilian Labor Force, % of labor force",Sample,100%,99%,98%,95%,95%,,
,"Armed Forces, % of labor force",Sample,0%,1%,2%,5%,5%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,59%,59%,62%,64%,67%,,
,"Not in Labor Force, % of pop. age 16+",Sample,41%,41%,38%,36%,33%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,"3,713","2,444","2,992","2,394","1,457",,
,Occ'd Housing Units with Vehicles,Sample,"9,423","13,298","15,524","20,889","28,790",,
,,,"13,136","15,742","18,516","23,283","30,247",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,28%,16%,16%,10%,5%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,72%,84%,84%,90%,95%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
