Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”,Name: “Table 1 of 1 on page 93 of 138”
Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93,Table: 93
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,88
"Transportation Related Census Data, Norfolk, 1970-2010","Transportation Related Census Data, Norfolk, 1970-2010","Transportation Related Census Data, Norfolk, 1970-2010","Transportation Related Census Data, Norfolk, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,Norfolk,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"307,951","266,979","261,229","234,403","242,803",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,-1.4%,-0.2%,-1.1%,0.4%,,
In Households,,Full,"263,285","233,109","228,197","211,114","210,023",,
In Group Quarters,,Full,"44,666","33,870","33,032","23,289","32,780",,
,,,"307,951","266,979","261,229","234,403","242,803",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,507,653,993,"1,095",924,,
,In Other Institutional Facilities,Mixed,749,745,"1,968","1,905","1,822",,
,In College/University Student Housing,Mixed,"1,288","2,008","2,989","3,191","6,488",,
,In Military Quarters,Mixed,"40,843","30,127","26,498","16,378","22,687",,
,In Other Noninstitutional Facilities,Mixed,"1,081",308,584,720,859,,
,Total 2,,"44,468","33,841","33,032","23,289","32,780",,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,"1,325","1,473","1,799",,
,In Other Institutional Facilities,Full,n.a.,n.a.,643,432,23,,
,,,,,"1,968","1,905","1,822",,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"94,064","65,613","59,987","56,352","50,612",,
Ages 18 thru 64,,Full,"193,023","176,891","173,784","152,519","169,395",,
Ages 65 thru 74,,Full,"13,676","15,409","16,703","12,979","11,466",,
Age 75 and Over,,Full,"7,188","9,066","10,755","12,553","11,330",,
,,,"307,951","266,979","261,229","234,403","242,803",,
Ages 0 thru 17,,Full,31%,25%,23%,24%,21%,,
Ages 18 thru 64,,Full,63%,66%,67%,65%,70%,,
Ages 65 thru 74,,Full,4%,6%,6%,6%,5%,,
Age 75 and Over,,Full,2%,3%,4%,5%,5%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
