Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”,Name: “Table 1 of 1 on page 32 of 138”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,27
"Travel Mode to Work, Large MSAs (pop. 1-3 million), 2010","Travel Mode to Work, Large MSAs (pop. 1-3 million), 2010","Travel Mode to Work, Large MSAs (pop. 1-3 million), 2010","Travel Mode to Work, Large MSAs (pop. 1-3 million), 2010","Travel Mode to Work, Large MSAs (pop. 1-3 million), 2010","Travel Mode to Work, Large MSAs (pop. 1-3 million), 2010",,,,,,,
(3 Year Sample: 2009-2011),(3 Year Sample: 2009-2011),,,,,,,,,,,
Source: HRTPO analysis of US Census data,Source: HRTPO analysis of US Census data,,,,,,,,,,,
Source file: ACS_11_3YR_B08301.xlsx,Source file: ACS_11_3YR_B08301.xlsx,,,,,,,,,,,
,,Drove,,Public,,,,,,,,
,,Alone,Carpool-,Trans-,,,,,,,,
,,"(car,","ed (car,  portation","ed (car,  portation",,,,,,,,
,"Popuation,","truck,","truck,",(exclud-,,,Motor-,,Other,Worked,,
Large MSAs,2010,van),van),ing taxi),Taxicab,Walked,cycle,Bicycle,Means,at Home,,
Austin,"1,716,289",75%,11%,2%,0.06%,2%,0.3%,0.8%,2%,7%,,
Baltimore,"2,710,489",76%,10%,6%,0.19%,3%,0.1%,0.3%,1%,4%,,
Birmingham,"1,128,047",84%,11%,1%,0.03%,1%,0.1%,0.1%,0%,3%,,
Buffalo,"1,135,509",82%,8%,4%,0.08%,3%,0.1%,0.3%,1%,2%,,
Charlotte,"1,758,038",80%,10%,2%,0.03%,2%,0.1%,0.1%,1%,5%,,
Cincinnati,"2,130,151",83%,9%,2%,0.07%,2%,0.1%,0.1%,0%,4%,,
Cleveland,"2,077,240",82%,8%,4%,0.07%,2%,0.1%,0.3%,1%,3%,,
Columbus,"1,836,536",83%,8%,2%,0.10%,2%,0.1%,0.4%,1%,4%,,
Denver,"2,543,482",76%,9%,4%,0.04%,2%,0.2%,0.8%,1%,6%,,
HAMPTON ROADS,"1,671,683",81%,9%,2%,0.09%,3%,0.2%,0.4%,1%,4%,,
Hartford,"1,212,381",81%,8%,3%,0.06%,3%,0.1%,0.3%,1%,4%,,
Indianapolis,"1,756,241",84%,8%,1%,0.03%,2%,0.1%,0.3%,1%,4%,,
Jacksonville,"1,345,596",81%,10%,1%,0.15%,1%,0.4%,0.5%,1%,4%,,
Kansas City,"2,035,334",83%,9%,1%,0.05%,1%,0.2%,0.2%,1%,4%,,
Las Vegas,"1,951,269",79%,11%,4%,0.02%,2%,0.4%,0.4%,1%,3%,,
Louisville,"1,283,566",83%,9%,2%,0.02%,2%,0.1%,0.2%,1%,3%,,
Memphis,"1,316,100",83%,10%,1%,0.06%,1%,0.1%,0.1%,1%,3%,,
