Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”,Name: “Table 1 of 1 on page 84 of 138”
Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84,Table: 84
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,79
,Mathews,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"2,504","3,118","3,530","3,932","3,858",,
Persons per Household,Persons per Household,Full,2.81,2.53,2.35,2.32,2.30,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"2,825","3,340","3,990","4,180",n.a.,,
,Armed Forces,Sample,24,38,32,62,n.a.,,
,Not in Labor Force,Sample,"2,609","3,127","2,841","3,327",n.a.,,
,,,"5,458","6,505","6,863","7,569",n.a.,,
,"Civilian Labor Force, % of labor force",Sample,99%,99%,99%,99%,n.a.,,
,"Armed Forces, % of labor force",Sample,1%,1%,1%,1%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
,"In Labor Force, % of pop. age 16+",Sample,52%,52%,59%,56%,n.a.,,
,"Not in Labor Force, % of pop. age 16+",Sample,48%,48%,41%,44%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,306,254,303,176,n.a.,,
,Occ'd Housing Units with Vehicles,Sample,"2,198","2,864","3,227","3,756",n.a.,,
,,,"2,504","3,118","3,530","3,932",n.a.,,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,12%,8%,9%,4%,n.a.,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,88%,92%,91%,96%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
