Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”,Name: “Table 1 of 1 on page 99 of 138”
Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99,Table: 99
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,94
,Poquoson,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,n.a.,"2,781","3,769","4,166","4,525",,
Persons per Household,Persons per Household,Full,n.a.,3.14,2.90,2.75,2.67,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,n.a.,"3,939","5,532","5,732",n.a.,,
,Armed Forces,Sample,n.a.,311,406,176,n.a.,,
,Not in Labor Force,Sample,n.a.,"2,087","2,483","2,930",n.a.,,
,,,n.a.,"6,337","8,421","8,838",n.a.,,
,"Civilian Labor Force, % of labor force",Sample,n.a.,93%,93%,97%,n.a.,,
,"Armed Forces, % of labor force",Sample,n.a.,7%,7%,3%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
,"In Labor Force, % of pop. age 16+",Sample,n.a.,67%,71%,67%,n.a.,,
,"Not in Labor Force, % of pop. age 16+",Sample,n.a.,33%,29%,33%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,n.a.,104,73,118,n.a.,,
,Occ'd Housing Units with Vehicles,Sample,n.a.,"2,677","3,696","4,048",n.a.,,
,,,n.a.,"2,781","3,769","4,166",n.a.,,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,n.a.,4%,2%,3%,n.a.,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,n.a.,96%,98%,97%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
