Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”,Name: “Table 1 of 1 on page 11 of 138”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,6
,,Coverage1,Source2,Year 1970,Year 1980,Year 1990,Year 2000,,Year 2010
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",HR7Cities,Sample,n.a.,"293,028","459,682","514,310",,"560,971"
,"Carpooled (car, truck, van)",HR7Cities,Sample,n.a.,"111,612","89,181","80,630",,"60,504"
,Public Transportation (excluding taxi),HR7Cities,Sample,n.a.,"22,536","13,857","12,656",,"13,131"
,Taxicab,HR7Cities,Sample,n.a.,633,784,860,,689
,Walked,HR7Cities,Sample,n.a.,"33,107","23,251","18,455",,"20,091"
,Motorcycle,HR7Cities,Sample,n.a.,"2,833","1,754",855,,"1,272"
,Bicycle,HR7Cities,Sample,n.a.,"2,943","3,415","2,140",,"3,177"
,Other Means,HR7Cities,Sample,n.a.,"15,332","7,443","9,645",,"5,758"
,Worked at Home,HR7Cities,Sample,n.a.,"5,537","35,539","16,840",,"30,576"
,,,,,"487,561","634,906","656,391",,"696,169"
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",HR7Cities,Sample,n.a.,60%,72%,78%,,81%
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",HR7Cities,Sample,n.a.,23%,14%,12%,,9%
Public Transportation (excluding taxi),Public Transportation (excluding taxi),HR7Cities,Sample,n.a.,4.6%,2.2%,1.9%,,1.9%
Taxicab,,HR7Cities,Sample,n.a.,0.13%,0.12%,0.13%,,0.10%
Walked,,HR7Cities,Sample,n.a.,6.8%,3.7%,2.8%,,2.9%
Motorcycle,,HR7Cities,Sample,n.a.,0.6%,0.3%,0.1%,,0.2%
Bicycle,,HR7Cities,Sample,n.a.,0.6%,0.5%,0.3%,,0.5%
Other Means,,HR7Cities,Sample,n.a.,3.1%,1.2%,1.5%,,0.8%
Worked at Home,,HR7Cities,Sample,n.a.,1.1%,5.6%,2.6%,,4.4%
,,,,,100%,100%,100%,,100%
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",HR11,Sample,n.a.,21.4,21.8,23.9,,23.2
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,HR11,Sample,n.a.,"77,325","82,512","81,373",,"86,162"
,10 to 44 minutes,HR11,Sample,n.a.,"403,211","517,510","562,844",,"592,613"
,45 or more minutes,HR11,Sample,n.a.,"45,927","62,795","74,041",,"80,362"
,,,,,"526,463","662,817","718,258",,"759,137"
Less than 10 minutes,,HR11,Sample,n.a.,15%,12%,11%,,11%
10 to 44 minutes,,HR11,Sample,n.a.,77%,78%,78%,,78%
45 or more minutes,,HR11,Sample,n.a.,9%,9%,10%,,11%
,,,,,100%,100%,100%,,100%
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
