Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”,Name: “Table 1 of 1 on page 94 of 138”
Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94,Table: 94
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,89
,Norfolk,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"86,742","87,802","89,478","86,210","86,485",,
Persons per Household,Persons per Household,Full,3.04,2.65,2.55,2.45,2.43,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"89,741","93,206","98,225","96,122","117,484",,
,Armed Forces,Sample,"55,096","43,683","43,583","27,238","21,985",,
,Not in Labor Force,Sample,"78,882","72,509","64,429","60,562","57,086",,
,,,"223,719","209,398","206,237","183,922","196,555",,
,"Civilian Labor Force, % of labor force",Sample,62%,68%,69%,78%,84%,,
,"Armed Forces, % of labor force",Sample,38%,32%,31%,22%,16%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,65%,65%,69%,67%,71%,,
,"Not in Labor Force, % of pop. age 16+",Sample,35%,35%,31%,33%,29%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,"21,389","17,913","15,860","14,662","9,391",,
,Occ'd Housing Units with Vehicles,Sample,"65,353","69,889","73,618","71,548","75,478",,
,,,"86,742","87,802","89,478","86,210","84,869",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,25%,20%,18%,17%,11%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,75%,80%,82%,83%,89%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
