Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”,Name: “Table 1 of 1 on page 75 of 138”
Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75,Table: 75
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,70
,Isle of Wight,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"5,626","8,668","11,795",n.a.,,
,"Carpooled (car, truck, van)",Sample,n.a.,"2,789","2,138","1,515",n.a.,,
,Public Transportation (excluding taxi),Sample,n.a.,116,154,15,n.a.,,
,Taxicab,Sample,n.a.,5,0,0,n.a.,,
,Walked,Sample,n.a.,360,297,155,n.a.,,
,Motorcycle,Sample,n.a.,29,0,0,n.a.,,
,Bicycle,Sample,n.a.,13,15,10,n.a.,,
,Other Means,Sample,n.a.,98,70,65,n.a.,,
,Worked at Home,Sample,n.a.,263,295,430,n.a.,,
,,,n.a.,"9,299","11,637","13,985",n.a.,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,61%,74%,84%,n.a.,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,30%,18%,11%,n.a.,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,1.2%,1.3%,0.1%,n.a.,,
Taxicab,,Sample,n.a.,0.05%,0.00%,0.00%,n.a.,,
Walked,,Sample,n.a.,3.9%,2.6%,1.1%,n.a.,,
Motorcycle,,Sample,n.a.,0.3%,0.0%,0.0%,n.a.,,
Bicycle,,Sample,n.a.,0.1%,0.1%,0.1%,n.a.,,
Other Means,,Sample,n.a.,1.1%,0.6%,0.5%,n.a.,,
Worked at Home,,Sample,n.a.,2.8%,2.5%,3.1%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,23.9,25.2,29.9,28.1,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,"1,707","1,590","1,247","1,907",,
,10 to 44 minutes,Sample,n.a.,"6,166","7,857","9,353","11,351",,
,45 or more minutes,Sample,n.a.,"1,535","1,895","2,956","3,326",,
,,,n.a.,"9,408","11,342","13,556","16,584",,
Less than 10 minutes,,Sample,n.a.,18%,14%,9%,11%,,
10 to 44 minutes,,Sample,n.a.,66%,69%,69%,68%,,
45 or more minutes,,Sample,n.a.,16%,17%,22%,20%,,
,,,n.a.,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
