Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”,Name: “Table 1 of 1 on page 130 of 138”
Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130,Table: 130
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,125
,Williamsburg,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"2,009","2,602","2,825",n.a.,,
,"Carpooled (car, truck, van)",Sample,n.a.,701,452,405,n.a.,,
,Public Transportation (excluding taxi),Sample,n.a.,127,48,50,n.a.,,
,Taxicab,Sample,n.a.,95,40,10,n.a.,,
,Walked,Sample,n.a.,"1,065","1,282",640,n.a.,,
,Motorcycle,Sample,n.a.,0,24,4,n.a.,,
,Bicycle,Sample,n.a.,215,183,80,n.a.,,
,Other Means,Sample,n.a.,45,22,50,n.a.,,
,Worked at Home,Sample,n.a.,109,241,170,n.a.,,
,,,n.a.,"4,366","4,894","4,234",n.a.,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,46%,53%,67%,n.a.,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,16%,9%,10%,n.a.,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,2.9%,1.0%,1.2%,n.a.,,
Taxicab,,Sample,n.a.,2.18%,0.82%,0.24%,n.a.,,
Walked,,Sample,n.a.,24.4%,26.2%,15.1%,n.a.,,
Motorcycle,,Sample,n.a.,0.0%,0.5%,0.1%,n.a.,,
Bicycle,,Sample,n.a.,4.9%,3.7%,1.9%,n.a.,,
Other Means,,Sample,n.a.,1.0%,0.4%,1.2%,n.a.,,
Worked at Home,,Sample,n.a.,2.5%,4.9%,4.0%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,14.1,12.4,18.0,n.a.,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,"1,730","1,991","1,181",n.a.,,
,10 to 44 minutes,Sample,n.a.,"2,232","2,472","2,504",n.a.,,
,45 or more minutes,Sample,n.a.,241,190,382,n.a.,,
,,,n.a.,"4,203","4,653","4,067",n.a.,,
Less than 10 minutes,,Sample,n.a.,41%,43%,29%,n.a.,,
10 to 44 minutes,,Sample,n.a.,53%,53%,62%,n.a.,,
45 or more minutes,,Sample,n.a.,6%,4%,9%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
