Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”,Name: “Table 1 of 1 on page 113 of 138”
Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,108
"Transportation Related Census Data, Suffolk, 1970-2010","Transportation Related Census Data, Suffolk, 1970-2010","Transportation Related Census Data, Suffolk, 1970-2010","Transportation Related Census Data, Suffolk, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,The 1970 data on this page is
Source file: master.xlsx,,,,,,,,,
,,,,,,,,,the sum of the City of Suffolk
,Suffolk,,,,,,,,data and Nansemond County
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
,,,,,,,,,"data.  In 1974, the City of"
,,,,,,,,,Suffolk consolidated with the
Population,,,,,,,,,
Population,,Full,"45,024","47,621","52,141","63,677","84,585",,towns of Holland and
,,,,,,,,,"Whaleyville, and the County"
,,,,1970's,1980's,1990's,2000's,,of Nansemond.
,"Growth Rate, annual",Full,n.a.,0.6%,0.9%,2.0%,2.9%,,
In Households,,Full,"44,678","47,179","51,477","62,698","83,457",,
In Group Quarters,,Full,346,442,664,979,"1,128",,
,,,"45,024","47,621","52,141","63,677","84,585",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,125,347,471,417,267,,
,In Other Institutional Facilities,Mixed,53,96,141,457,762,,
,In College/University Student Housing,Mixed,0,0,30,0,0,,
,In Military Quarters,Mixed,11,0,0,0,0,,
,In Other Noninstitutional Facilities,Mixed,275,0,22,105,99,,
,Total 2,,464,443,664,979,"1,128",,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,141,441,762,,
,In Other Institutional Facilities,Full,n.a.,n.a.,0,16,0,,
,,,,,141,457,762,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"16,665","14,072","14,143","17,733","22,137",,
Ages 18 thru 64,,Full,"24,335","28,082","31,246","38,676","52,721",,
Ages 65 thru 74,,Full,"2,649","3,541","4,138","3,988","5,661",,
Age 75 and Over,,Full,"1,375","1,926","2,614","3,280","4,066",,
,,,"45,024","47,621","52,141","63,677","84,585",,
Ages 0 thru 17,,Full,37%,30%,27%,28%,26%,,
Ages 18 thru 64,,Full,54%,59%,60%,61%,62%,,
Ages 65 thru 74,,Full,6%,7%,8%,6%,7%,,
Age 75 and Over,,Full,3%,4%,5%,5%,5%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
