Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”,Name: “Table 1 of 1 on page 69 of 138”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,64
,Hampton,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"34,586","41,506","49,673","53,887","55,031",,
Persons per Household,Persons per Household,Full,3.34,2.83,2.58,2.49,2.42,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"41,686","52,125","62,755","65,087","66,437",,
,Armed Forces,Sample,"8,006","7,748","8,685","6,703","5,094",,
,Not in Labor Force,Sample,"30,767","32,191","32,234","43,301","38,336",,
,,,"80,459","92,064","103,674","115,091","109,867",,
,"Civilian Labor Force, % of labor force",Sample,84%,87%,88%,91%,93%,,
,"Armed Forces, % of labor force",Sample,16%,13%,12%,9%,7%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,62%,65%,69%,62%,65%,,
,"Not in Labor Force, % of pop. age 16+",Sample,38%,35%,31%,38%,35%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,"4,186","4,215","4,716","4,692","4,036",,
,Occ'd Housing Units with Vehicles,Sample,"30,400","37,291","44,957","49,195","47,507",,
,,,"34,586","41,506","49,673","53,887","51,543",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,12%,10%,9%,9%,8%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,88%,90%,91%,91%,92%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
