Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”,Name: “Table 1 of 1 on page 59 of 138”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,54
,Franklin,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"2,111","2,588","3,006","3,384","3,530",,
Persons per Household,Persons per Household,Full,3.24,2.80,2.57,2.39,2.39,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"2,890","3,052","3,500","3,657",n.a.,,
,Armed Forces,Sample,0,0,0,13,n.a.,,
,Not in Labor Force,Sample,"1,870","2,411","2,459","2,895",n.a.,,
,,,"4,760","5,463","5,959","6,565",n.a.,,
,"Civilian Labor Force, % of labor force",Sample,100%,100%,100%,100%,n.a.,,
,"Armed Forces, % of labor force",Sample,0%,0%,0%,0%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
,"In Labor Force, % of pop. age 16+",Sample,61%,56%,59%,56%,n.a.,,
,"Not in Labor Force, % of pop. age 16+",Sample,39%,44%,41%,44%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,548,612,708,495,n.a.,,
,Occ'd Housing Units with Vehicles,Sample,"1,563","1,976","2,298","2,889",n.a.,,
,,,"2,111","2,588","3,006","3,384",n.a.,,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,26%,24%,24%,15%,n.a.,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,74%,76%,76%,85%,n.a.,,
,,,100%,100%,100%,100%,n.a.,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
