Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”,Name: “Table 1 of 1 on page 90 of 138”
Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90,Table: 90
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,85
,Newport News,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"39,501","61,048","67,920","69,030",,
,"Carpooled (car, truck, van)",Sample,n.a.,"17,243","12,496","11,185","8,790",,
,Public Transportation (excluding taxi),Sample,n.a.,"3,841","2,339","2,270","2,953",,
,Taxicab,Sample,n.a.,193,109,130,142,,
,Walked,Sample,n.a.,"4,078","3,972","2,285","3,414",,
,Motorcycle,Sample,n.a.,458,251,145,187,,
,Bicycle,Sample,n.a.,395,477,305,148,,
,Other Means,Sample,n.a.,558,791,620,512,,
,Worked at Home,Sample,n.a.,756,"1,179","1,415","2,272",,
,,,n.a.,"67,023","82,662","86,275","87,448",,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,59%,74%,79%,79%,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,26%,15%,13%,10%,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,5.7%,2.8%,2.6%,3.4%,,
Taxicab,,Sample,n.a.,0.29%,0.13%,0.15%,0.16%,,
Walked,,Sample,n.a.,6.1%,4.8%,2.6%,3.9%,,
Motorcycle,,Sample,n.a.,0.7%,0.3%,0.2%,0.2%,,
Bicycle,,Sample,n.a.,0.6%,0.6%,0.4%,0.2%,,
Other Means,,Sample,n.a.,0.8%,1.0%,0.7%,0.6%,,
Worked at Home,,Sample,n.a.,1.1%,1.4%,1.6%,2.6%,,
,,,n.a.,100%,100%,100%,100%,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,21.1,19.8,23.0,21.7,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,"8,638","12,214","10,668","10,929",,
,10 to 44 minutes,Sample,n.a.,"52,417","63,559","65,433","65,662",,
,45 or more minutes,Sample,n.a.,"4,965","5,710","8,764","8,585",,
,,,n.a.,"66,020","81,483","84,865","85,176",,
Less than 10 minutes,,Sample,n.a.,13%,15%,13%,13%,,
10 to 44 minutes,,Sample,n.a.,79%,78%,77%,77%,,
45 or more minutes,,Sample,n.a.,8%,7%,10%,10%,,
,,,n.a.,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
