Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”,Name: “Table 1 of 1 on page 79 of 138”
Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,74
,James City,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"4,555","7,639","12,968","19,003","26,860",,
Persons per Household,Persons per Household,Full,3.38,2.82,2.60,2.47,2.45,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"6,253","10,877","18,215","22,800","32,294",,
,Armed Forces,Sample,466,220,356,328,754,,
,Not in Labor Force,Sample,"5,611","6,254","8,649","15,120","21,570",,
,,,"12,330","17,351","27,220","38,248","54,618",,
,"Civilian Labor Force, % of labor force",Sample,93%,98%,98%,99%,98%,,
,"Armed Forces, % of labor force",Sample,7%,2%,2%,1%,2%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,54%,64%,68%,60%,61%,,
,"Not in Labor Force, % of pop. age 16+",Sample,46%,36%,32%,40%,39%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,626,559,523,947,960,,
,Occ'd Housing Units with Vehicles,Sample,"3,929","7,080","12,445","18,056","25,491",,
,,,"4,555","7,639","12,968","19,003","26,451",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,14%,7%,4%,5%,4%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,86%,93%,96%,95%,96%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
