Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”,Name: “Table 1 of 1 on page 120 of 138”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,115
,Surry,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,"Drove Alone (car, truck, van)",Sample,n.a.,"1,257","1,842","2,365",n.a.,,
,"Carpooled (car, truck, van)",Sample,n.a.,824,613,604,n.a.,,
,Public Transportation (excluding taxi),Sample,n.a.,45,39,20,n.a.,,
,Taxicab,Sample,n.a.,0,0,0,n.a.,,
,Walked,Sample,n.a.,69,28,30,n.a.,,
,Motorcycle,Sample,n.a.,0,0,0,n.a.,,
,Bicycle,Sample,n.a.,0,0,0,n.a.,,
,Other Means,Sample,n.a.,31,53,35,n.a.,,
,Worked at Home,Sample,n.a.,156,47,100,n.a.,,
,,,n.a.,"2,382","2,622","3,154",n.a.,,
Means of Transportation to Work,Means of Transportation to Work,,,,,,,,
"Drove Alone (car, truck, van)","Drove Alone (car, truck, van)",Sample,n.a.,53%,70%,75%,n.a.,,
"Carpooled (car, truck, van)","Carpooled (car, truck, van)",Sample,n.a.,35%,23%,19%,n.a.,,
Public Transportation (excluding taxi),Public Transportation (excluding taxi),Sample,n.a.,1.9%,1.5%,0.6%,n.a.,,
Taxicab,,Sample,n.a.,0.00%,0.00%,0.00%,n.a.,,
Walked,,Sample,n.a.,2.9%,1.1%,1.0%,n.a.,,
Motorcycle,,Sample,n.a.,0.0%,0.0%,0.0%,n.a.,,
Bicycle,,Sample,n.a.,0.0%,0.0%,0.0%,n.a.,,
Other Means,,Sample,n.a.,1.3%,2.0%,1.1%,n.a.,,
Worked at Home,,Sample,n.a.,6.5%,1.8%,3.2%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
Travel Time to Work,,,,,,,,,
"Mean Travel Time to Work, minutes","Mean Travel Time to Work, minutes",Sample,n.a.,32.5,31.7,39.0,n.a.,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,Less than 10 minutes,Sample,n.a.,303,321,326,n.a.,,
,10 to 44 minutes,Sample,n.a.,"1,142","1,363","1,644",n.a.,,
,45 or more minutes,Sample,n.a.,700,891,"1,079",n.a.,,
,,,n.a.,"2,145","2,575","3,049",n.a.,,
Less than 10 minutes,,Sample,n.a.,14%,12%,11%,n.a.,,
10 to 44 minutes,,Sample,n.a.,53%,53%,54%,n.a.,,
45 or more minutes,,Sample,n.a.,33%,35%,35%,n.a.,,
,,,n.a.,100%,100%,100%,n.a.,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
