Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”,Name: “Table 1 of 1 on page 9 of 138”
Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9,Table: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,4
"Transportation Related Census Data, HRTPO 1 1970-2010","Transportation Related Census Data, HRTPO 1 1970-2010","Transportation Related Census Data, HRTPO 1 1970-2010","Transportation Related Census Data, HRTPO 1 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: master.xlsx,,,,,,,,,
,,Coverage1,Source2,Year 1970,Year 1980,Year 1990,Year 2000,,Year 2010
Population,,,,,,,,,
Population,,HRTPO13,Full,"1,077,049","1,181,914","1,421,160","1,542,144",,"1,632,100"
,,,,,1970's,1980's,1990's,,2000's
,"Growth Rate, annual",HRTPO13,Full,n.a.,0.9%,1.9%,0.8%,,0.6%
In Households,,HRTPO13,Full,"994,377","1,118,450","1,354,242","1,475,982",,"1,563,201"
In Group Quarters,,HRTPO13,Full,"82,672","63,464","66,918","66,162",,"68,899"
,,,,"1,077,049","1,181,914","1,421,160","1,542,144",,"1,632,100"
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,HRTPO13,Mixed,"2,765","3,909","6,607","6,917",,"6,130"
,In Other Institutional Facilities,HRTPO13,Mixed,"4,525","5,106","7,108","17,862",,"10,697"
,In College/University Student Housing,HRTPO13,Mixed,"5,561","8,136","10,329","10,898",,"16,693"
,In Military Quarters,HRTPO13,Mixed,"66,019","45,488","40,448","26,536",,"32,206"
,In Other Noninstitutional Facilities,HRTPO13,Mixed,"3,346",868,"2,426","3,949",,"3,173"
,Total 3,,,"82,216","63,507","66,918","66,162",,"68,899"
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,HRTPO13,Full,n.a.,n.a.,"4,162","15,870",,"10,379"
,In Other Institutional Facilities,HRTPO13,Full,n.a.,n.a.,"2,946","1,992",,318
,,,,,,"7,108","17,862",,"10,697"
Age,,,,,,,,,
Ages 0 thru 17,,HRTPO13,Full,"376,572","337,246","375,287","407,658",,"385,577"
Ages 18 thru 64,,HRTPO13,Full,"635,358","753,386","916,958","977,062",,"1,059,576"
Ages 65 thru 74,,HRTPO13,Full,"42,413","58,611","81,551","86,725",,"103,463"
Age 75 and Over,,HRTPO13,Full,"22,706","32,671","47,364","70,699",,"83,484"
,,,,"1,077,049","1,181,914","1,421,160","1,542,144",,"1,632,100"
Ages 0 thru 17,,HRTPO13,Full,35%,29%,26%,26%,,24%
Ages 18 thru 64,,HRTPO13,Full,59%,64%,65%,63%,,65%
Ages 65 thru 74,,HRTPO13,Full,4%,5%,6%,6%,,6%
Age 75 and Over,,HRTPO13,Full,2%,3%,3%,5%,,5%
,,,,100%,100%,100%,100%,,100%
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
