Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”,Name: “Table 1 of 1 on page 63 of 138”
Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63,Table: 63
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,58
"Transportation Related Census Data, Gloucester, 1970-2010","Transportation Related Census Data, Gloucester, 1970-2010","Transportation Related Census Data, Gloucester, 1970-2010","Transportation Related Census Data, Gloucester, 1970-2010",,,,,,
Source: HRTPO analysis of US Census data,,,,,"Note that, although the HRTPO study area excludes northern","Note that, although the HRTPO study area excludes northern","Note that, although the HRTPO study area excludes northern","Note that, although the HRTPO study area excludes northern","Note that, although the HRTPO study area excludes northern"
Source file: master.xlsx,,,,,"Gloucester, the data in this table covers all of Gloucester.","Gloucester, the data in this table covers all of Gloucester.","Gloucester, the data in this table covers all of Gloucester.","Gloucester, the data in this table covers all of Gloucester.","Gloucester, the data in this table covers all of Gloucester."
Gloucester (whole county),Gloucester (whole county),,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Population,,,,,,,,,
Population,,Full,"14,059","20,107","30,131","34,780","36,858",,
,,,,1970's,1980's,1990's,2000's,,
,"Growth Rate, annual",Full,n.a.,3.6%,4.1%,1.4%,0.6%,,
In Households,,Full,"14,001","20,044","29,802","34,446","36,490",,
In Group Quarters,,Full,58,63,329,334,368,,
,,,"14,059","20,107","30,131","34,780","36,858",,
Population in Group Quarters,,,,,,,,,
,In Nursing Facilities,Mixed,43,56,228,272,275,,
,In Other Institutional Facilities,Mixed,0,0,26,0,75,,
,In College/University Student Housing,Mixed,15,4,0,0,0,,
,In Military Quarters,Mixed,0,0,0,0,0,,
,In Other Noninstitutional Facilities,Mixed,29,0,75,62,18,,
,Total 2,,87,60,329,334,368,,
"Detail of ""In Other Institutional Facilities"" (above)","Detail of ""In Other Institutional Facilities"" (above)",,,,,,,,
,In Correctional Facilities,Full,n.a.,n.a.,26,0,75,,
,In Other Institutional Facilities,Full,n.a.,n.a.,0,0,0,,
,,,,,26,0,75,,
Age,,,,,,,,,
Ages 0 thru 17,,Full,"4,740","5,571","8,224","9,116","8,140",,
Ages 18 thru 64,,Full,"7,699","12,152","18,552","21,556","23,308",,
Ages 65 thru 74,,Full,969,"1,492","1,959","2,290","3,221",,
Age 75 and Over,,Full,651,892,"1,396","1,818","2,189",,
,,,"14,059","20,107","30,131","34,780","36,858",,
Ages 0 thru 17,,Full,34%,28%,27%,26%,22%,,
Ages 18 thru 64,,Full,55%,60%,62%,62%,63%,,
Ages 65 thru 74,,Full,7%,7%,7%,7%,9%,,
Age 75 and Over,,Full,5%,4%,5%,5%,6%,,
,,,100%,100%,100%,100%,100%,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
