Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”,Name: “Table 1 of 1 on page 30 of 138”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,25
"Age Groups, Large MSAs (pop. 1-3 million), 2010","Age Groups, Large MSAs (pop. 1-3 million), 2010","Age Groups, Large MSAs (pop. 1-3 million), 2010","Age Groups, Large MSAs (pop. 1-3 million), 2010",,,,,,,
(100% Enumeration),(100% Enumeration),,,,,,,,,
Source: HRTPO analysis of US Census data,Source: HRTPO analysis of US Census data,,,,,,,,,
Source file: DEC_10_SF1_QTP1.xlsx,Source file: DEC_10_SF1_QTP1.xlsx,,,,,,,,,
,"Popuation,",Ages 0,Ages 18,Ages 65,Ages 75,Ages 0,Ages 18,Ages 65,Ages 75,
Large MSAs,2010,thru 17,thru 64,thru 74,and Over,thru 17,thru 64,thru 74,and Over,
Austin,"1,716,289","434,760","1,142,793","81,072","57,664",25%,67%,5%,3%,
Baltimore,"2,710,489","623,056","1,744,922","183,047","159,464",23%,64%,7%,6%,
Birmingham,"1,128,047","269,690","712,218","80,025","66,114",24%,63%,7%,6%,
Buffalo,"1,135,509","245,434","711,323","86,918","91,834",22%,63%,8%,8%,
Charlotte,"1,758,038","455,950","1,124,638","101,863","75,587",26%,64%,6%,4%,
Cincinnati,"2,130,151","531,378","1,338,594","139,716","120,463",25%,63%,7%,6%,
Cleveland,"2,077,240","481,344","1,280,184","158,767","156,945",23%,62%,8%,8%,
Columbus,"1,836,536","454,787","1,187,196","108,487","86,066",25%,65%,6%,5%,
Denver,"2,543,482","634,459","1,653,467","143,753","111,803",25%,65%,6%,4%,
HAMPTON ROADS,"1,671,683","394,289","1,083,995","107,339","86,060",24%,65%,6%,5%,
Hartford,"1,212,381","270,025","768,396","87,398","86,562",22%,63%,7%,7%,
Indianapolis,"1,756,241","459,847","1,105,421","104,950","86,023",26%,63%,6%,5%,
Jacksonville,"1,345,596","320,501","861,977","92,700","70,418",24%,64%,7%,5%,
Kansas City,"2,035,334","521,860","1,269,850","130,423","113,201",26%,62%,6%,6%,
Las Vegas,"1,951,269","488,618","1,242,206","134,903","85,542",25%,64%,7%,4%,
Louisville,"1,283,566","307,811","811,597","89,522","74,636",24%,63%,7%,6%,
Memphis,"1,316,100","350,064","827,197","78,820","60,019",27%,63%,6%,5%,
Milwaukee,"1,555,908","382,936","977,140","97,043","98,789",25%,63%,6%,6%,
Nashville,"1,589,934","387,964","1,031,967","97,643","72,360",24%,65%,6%,5%,
New Orleans,"1,167,764","272,818","752,855","78,741","63,350",23%,64%,7%,5%,
Oklahoma City,"1,252,987","312,969","792,635","81,770","65,613",25%,63%,7%,5%,
Orlando,"2,134,411","499,485","1,371,849","146,369","116,708",23%,64%,7%,5%,
Pittsburgh,"2,356,285","474,971","1,474,232","195,259","211,823",20%,63%,8%,9%,
Portland,"2,226,009","527,233","1,446,558","138,275","113,943",24%,65%,6%,5%,
Providence,"1,600,852","346,365","1,024,727","113,034","116,726",22%,64%,7%,7%,
Raleigh,"1,130,490","296,445","732,559","59,542","41,944",26%,65%,5%,4%,
Richmond,"1,258,251","293,568","811,824","84,564","68,295",23%,65%,7%,5%,
Rochester,"1,054,323","238,055","667,536","76,336","72,396",23%,63%,7%,7%,
Sacramento,"2,149,127","534,944","1,355,775","138,292","120,116",25%,63%,6%,6%,
Salt Lake City,"1,124,197","330,869","696,814","54,004","42,510",29%,62%,5%,4%,
San Antonio,"2,142,508","575,570","1,331,872","130,583","104,483",27%,62%,6%,5%,
San Jose,"1,836,911","445,611","1,188,996","109,499","92,805",24%,65%,6%,5%,
St. Louis,"2,812,896","670,844","1,766,945","195,717","179,390",24%,63%,7%,6%,
Tampa,"2,783,243","589,827","1,713,312","249,169","230,935",21%,62%,9%,8%,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
