Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”,Name: “Table 1 of 1 on page 104 of 138”
Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104,Table: 104
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,99
,Portsmouth,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"34,511","36,746","38,741","38,170","37,324",,
Persons per Household,Persons per Household,Full,3.17,2.79,2.62,2.51,2.47,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"40,834","43,318","45,635","43,705","45,286",,
,Armed Forces,Sample,"3,183","2,696","3,210","4,458","3,625",,
,Not in Labor Force,Sample,"31,846","32,647","29,880","29,361","26,689",,
,,,"75,863","78,661","78,725","77,524","75,600",,
,"Civilian Labor Force, % of labor force",Sample,93%,94%,93%,91%,93%,,
,"Armed Forces, % of labor force",Sample,7%,6%,7%,9%,7%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,58%,58%,62%,62%,65%,,
,"Not in Labor Force, % of pop. age 16+",Sample,42%,42%,38%,38%,35%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,"8,610","6,634","6,482","5,538","3,963",,
,Occ'd Housing Units with Vehicles,Sample,"25,901","30,112","32,259","32,632","32,761",,
,,,"34,511","36,746","38,741","38,170","36,724",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,25%,18%,17%,15%,11%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,75%,82%,83%,85%,89%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
