Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”,Name: “Table 1 of 1 on page 61 of 138”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,56
,Franklin,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,93,230,n.a.,,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,554,575,n.a.,,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,958,"1,010",n.a.,,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,760,685,n.a.,,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,202,124,n.a.,,
,Other Times,Sample,n.a.,n.a.,651,614,n.a.,,
,,,n.a.,n.a.,"3,218","3,238",n.a.,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,3%,7%,n.a.,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,17%,18%,n.a.,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,30%,31%,n.a.,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,24%,21%,n.a.,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,6%,4%,n.a.,,
Other Hours,Other Hours,Sample,n.a.,n.a.,20%,19%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Place of Work,Place of Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"1,689","1,591",n.a.,,
,Work Outside County of Residence,Sample,n.a.,n.a.,"1,583","1,746",n.a.,,
,,,n.a.,n.a.,"3,272","3,337",n.a.,,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,52%,48%,n.a.,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,48%,52%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Footnotes,Footnotes,,,,,,,,
1Source:,,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
