Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”,Name: “Table 1 of 1 on page 111 of 138”
Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111,Table: 111
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,106
,Southampton,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
Workers 16+ (Did Not Work at Home),Workers 16+ (Did Not Work at Home),,,,,,,,
,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,617,620,n.a.,,
,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,"1,322","1,555",n.a.,,
,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,"2,397","2,120",n.a.,,
,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,"1,177",925,n.a.,,
,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,225,159,n.a.,,
,Other Times,Sample,n.a.,n.a.,"1,344","1,405",n.a.,,
,,,n.a.,n.a.,"7,082","6,784",n.a.,,
Time Leaving Home to Go to Work,Time Leaving Home to Go to Work,,,,,,,,
5:00 a.m. to 5:59 a.m.,5:00 a.m. to 5:59 a.m.,Sample,n.a.,n.a.,9%,9%,n.a.,,
6:00 a.m. to 6:59 a.m.,6:00 a.m. to 6:59 a.m.,Sample,n.a.,n.a.,19%,23%,n.a.,,
7:00 a.m. to 7:59 a.m.,7:00 a.m. to 7:59 a.m.,Sample,n.a.,n.a.,34%,31%,n.a.,,
8:00 a.m. to 8:59 a.m.,8:00 a.m. to 8:59 a.m.,Sample,n.a.,n.a.,17%,14%,n.a.,,
9:00 a.m. to 9:59 a.m.,9:00 a.m. to 9:59 a.m.,Sample,n.a.,n.a.,3%,2%,n.a.,,
Other Hours,Other Hours,Sample,n.a.,n.a.,19%,21%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Place of Work,Place of Work,,,,,,,,
Workers 16 Years and Over,Workers 16 Years and Over,,,,,,,,
,Work In County of Residence,Sample,n.a.,n.a.,"3,811","2,623",n.a.,,
,Work Outside County of Residence,Sample,n.a.,n.a.,"3,444","4,322",n.a.,,
,,,n.a.,n.a.,"7,255","6,945",n.a.,,
"Work In County of Residence, %","Work In County of Residence, %",Sample,n.a.,n.a.,53%,38%,n.a.,,
"Work Outside County of Residence, %","Work Outside County of Residence, %",Sample,n.a.,n.a.,47%,62%,n.a.,,
,,,n.a.,n.a.,100%,100%,n.a.,,
Footnotes,Footnotes,,,,,,,,
1Source:,1Source:,,,,,,,,
Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,Full: Based on entire population and every housing unit.,,,,,,,
"Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).","Sample: Based on a sample of population and housing units for subject year, except for ""2010"": 3-year estimate (2009-2011).",,
"Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).","Mixed: Based on a sample (1970, 1980) and based on full enumeration (1990, 2000, 2010).",,,,
2Total:,,,,,,,,,
"For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.","For the decades with sample data (1970, 1980), these totals differ slightly from ""In Group Quarters"" above.",,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,
