Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”,Name: “Table 1 of 1 on page 49 of 138”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,44
,Chesapeake,,,,,,,,
,,1Source,Year 1970,Year 1980,Year 1990,Year 2000,Year 2010,,
Households,,,,,,,,,
Households,,Full,"25,153","36,383","51,965","69,900","79,574",,
Persons per Household,Persons per Household,Full,3.52,3.11,2.87,2.79,2.75,,
Employment (by place of residence),Employment (by place of residence),,,,,,,,
Population 16 Years and Over,Population 16 Years and Over,,,,,,,,
,Civilian Labor Force,Sample,"32,088","50,351","75,869","96,292","113,219",,
,Armed Forces,Sample,"1,655","2,264","4,110","6,178","5,904",,
,Not in Labor Force,Sample,"25,013","30,248","32,869","46,042","53,133",,
,,,"58,756","82,863","112,848","148,512","172,256",,
,"Civilian Labor Force, % of labor force",Sample,95%,96%,95%,94%,95%,,
,"Armed Forces, % of labor force",Sample,5%,4%,5%,6%,5%,,
,,,100%,100%,100%,100%,100%,,
,"In Labor Force, % of pop. age 16+",Sample,57%,63%,71%,69%,69%,,
,"Not in Labor Force, % of pop. age 16+",Sample,43%,37%,29%,31%,31%,,
,,,100%,100%,100%,100%,100%,,
Vehicles,,,,,,,,,
Occupied Housing Units,Occupied Housing Units,,,,,,,,
,Zero-Vehicle Occ'd Housing Units,Sample,"3,143","2,918","3,411","3,979","3,538",,
,Occ'd Housing Units with Vehicles,Sample,"22,010","33,465","48,554","65,921","75,100",,
,,,"25,153","36,383","51,965","69,900","78,638",,
"Zero-Vehicle Occupied Housing Units, %","Zero-Vehicle Occupied Housing Units, %",Sample,12%,8%,7%,6%,4%,,
"Occupied Housing Units with Vehicles, %","Occupied Housing Units with Vehicles, %",Sample,88%,92%,93%,94%,96%,,
,,,100%,100%,100%,100%,100%,,
,,,,,,,,,
HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,HistoricJaalmAesnCalityys/isWiolfl iaCmesnbsuursg /TYroarnksTproarntsaptoirotnatiDoantSatudy,,,,,,,
