Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”,Name: “Table 1 of 1 on page 71 of 80”
Table: 69,Table: 69,Table: 69,Table: 69,Table: 69
,,,,
CONFIDENTIAL,CONFIDENTIAL,TA B 3 :,P ROJ E CT FI NA NCI NG,
,,,3 . c,Fi na nc ia l As s um pt io ns
Some of these funding options could be explored further during the preparation of the detailed technical,Some of these funding options could be explored further during the preparation of the detailed technical,Some of these funding options could be explored further during the preparation of the detailed technical,Some of these funding options could be explored further during the preparation of the detailed technical,
"proposal. For illustration purposes, the following examples show two of a virtually infinite number of","proposal. For illustration purposes, the following examples show two of a virtually infinite number of","proposal. For illustration purposes, the following examples show two of a virtually infinite number of","proposal. For illustration purposes, the following examples show two of a virtually infinite number of",
"potential alternatives with external funds, the impact of varying the initial tolls (July 2008), and the","potential alternatives with external funds, the impact of varying the initial tolls (July 2008), and the","potential alternatives with external funds, the impact of varying the initial tolls (July 2008), and the","potential alternatives with external funds, the impact of varying the initial tolls (July 2008), and the",
amount of external funds:,amount of external funds:,,,
Alternate A.,If Phases I through V were built:,If Phases I through V were built:,,
,,Initial (2008) toll is $2.00/Trip,,
,,Toll upon completion in 2013 is $3.00/Trip,,
,,"External funds required are $1,850M",,
Alternate B.,If Phases I and II were built:,If Phases I and II were built:,,
,,Initial (2008) toll is $2.00/Trip,,
,,Toll upon completion in 2013 is $3.00/Trip,,
,,External funds required are $600M,,
Note:,Funding generated by required debt/service ratio could be used as a fund source for remaining,Funding generated by required debt/service ratio could be used as a fund source for remaining,Funding generated by required debt/service ratio could be used as a fund source for remaining,
,phases.,,,
THI6R1D HAMPTON ROADS CROSSING,THI6R1D HAMPTON ROADS CROSSING,,,61
CONCEPTUAL PROPOSAL,CONCEPTUAL PROPOSAL,,,
