Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”,Name: “Table 1 of 1 on page 17 of 55”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,,,,,
,,,,,,Project Scenario 3,Project Scenario 3,Project Scenario 3,,
,,,,,AM Peak,AM,AM,PM Peak Hour,PM,
,,,,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak
,,,,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour
Planning,,,,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS
Analysis,,Segments,,ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS)
,A,Hampton Roads Beltway (17 Segments),Hampton Roads Beltway (17 Segments),,,,,,,
Freeway,A1,"I-64, I-664 to Armistead Ave",,"133,300",,,,38.1,"12,000",E
Freeway,A2,"I-64, Armistead Ave to Hampton Roads Bridge Tunnel","I-64, Armistead Ave to Hampton Roads Bridge Tunnel","112,000",,,,28.1,"10,100",D
Freeway,A3,Hampton Roads Bridge Tunnel,,"104,400",,,,*,"9,400",F
Freeway,A4,"I-64, Hampton Roads Bridge Tunnel to I-564","I-64, Hampton Roads Bridge Tunnel to I-564","93,500",,,,42.6,"8,400",E
Freeway,A5,"I-64, I-564 to Chesapeake Blvd",,"155,200",,,,*,"14,000",F
Freeway,A6,"I-64, Chesapeake Blvd to Northampton Blvd","I-64, Chesapeake Blvd to Northampton Blvd","163,600",,,,*,"14,700",F
Freeway,A7,"I-64, Northampton Blvd to I-264",,"171,200",,,,35.1,"15,400",E
Freeway,A8,"I-64, I-264 to Indian River Rd",,"158,100",,,,30.5,"14,200",D
Freeway,A9,"I-64, Indian River Rd to Greenbrier Pkwy","I-64, Indian River Rd to Greenbrier Pkwy","154,800",,,,29.6,"13,900",D
Freeway,A10,"I-64, Greenbrier Pkwy to I-464",,"144,200",,,,26.8,"13,000",D
