Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”,Name: “Table 1 of 1 on page 18 of 55”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,
,,,,,Project Scenario 3,Project Scenario 3,Project Scenario 3,,
,,,,AM Peak,AM,AM,PM Peak Hour,PM,
,,,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak
,,,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour
Planning,,,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS
Analysis,,Segments,ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS)
,G,I-64 (on the Peninsula) (5 segments),,,,,,,
Freeway,G1,New Kent County Line to Route 30 (Exit 227),"9,600",,,,3.5,900,A
Freeway,G2,Route 30 (Exit 220) to Croaker Rd (Exit 231),"67,800",,,,24.7,"6,100",C
Freeway,G3,Croaker Rd (Exit 231) to Route 199 @ Lightfoot (Exit 234),"81,900",,,,32.2,"7,400",D
Freeway,G4,Route 199 @ Lightfoot (Exit 234) to Camp Peary Rd (Exit 238),"72,900",,,,27.1,"6,600",D
Freeway,G5,Camp Peary Rd (Exit 238) to Route 199 @ Kingsmill (Exit 242),"77,100",,,,29.4,"6,900",D
,H,I-264 (4 segments),,,,,,,
Freeway,H1,Witchduck Rd to Independence Blvd,"218,000",,,,*,"19,600",F
Freeway,H2,Independence Blvd to Rosemont Rd,"177,600",,,,38.4,"16,000",E
Freeway,H3,Rosemont Rd to Lynnhaven Pkwy,"150,700",,,,28.3,"13,600",D
Freeway,H4 First Colonial Rd to proposed Southeastern Pkwy,H4 First Colonial Rd to proposed Southeastern Pkwy,"63,900",,,,15.3,"5,800",B
,I,Dam Neck Rd (2 segments),,,,,,,
Arterial,,I1 Holland Rd to London Bridge Ext,"42,400",,,,15.4,"3,800",F
Arterial,,I2 Proposed Southeastern Pkwy to Gen Booth Blvd,"28,200",,,,21.6,"2,500",D
,J,Birdneck Rd ( 2 segments),,,,,,,
Arterial,,J1 I-264 to VA Beach Blvd,"27,100",,,,14.3,"2,400",E
Arterial,,J2 Gen Booth Blvd to Norfolk Ave,"9,800",,,,28.2,900,B
,K,Battlefield Blvd (2 segments),,,,,,,
Arterial,K1 Great Bridge Bypass to Volvo Pkwy,K1 Great Bridge Bypass to Volvo Pkwy,"49,300",23.1,"3,400",D,23.1,"4,000",D
Arterial,K2 Cedar Rd to Mt Pleasant Rd,K2 Cedar Rd to Mt Pleasant Rd,"42,300",11.9,"2,800",F,6.4,"3,100",F
,L,Kempsville Rd (2 segments),,,,,,,
Arterial,L1 Centreville Tpk to Indian River Rd,L1 Centreville Tpk to Indian River Rd,"33,800",16.1,"2,500",E,14.3,"3,000",F
Arterial,L2 Great Bridge Bypass to Greenbrier Pkwy,L2 Great Bridge Bypass to Greenbrier Pkwy,"39,400",24.4,"2,900",D,23.0,"3,800",D
,M,Indian River Rd (2 segments),,,,,,,
Arterial,M1 I-64 to Centreville Tpk,M1 I-64 to Centreville Tpk,"101,900",,,,3.2,"9,200",F
Arterial,M2 Independence Blvd to Elbow Rd,M2 Independence Blvd to Elbow Rd,"18,500",,,,29.9,"1,700",C
,N,Oceana Blvd (2 segments),,,,,,,
Arterial,N1 Gen Booth Blvd to Tomcat Blvd/proposed Southeastern Pkwy,N1 Gen Booth Blvd to Tomcat Blvd/proposed Southeastern Pkwy,"38,200",,,,7.4,"3,400",F
Arterial,N2 Tomcat Blvd/proposed Southeastern Pkwy to VA Beach Blvd,N2 Tomcat Blvd/proposed Southeastern Pkwy to VA Beach Blvd,"39,500",,,,27.2,"3,600",C
,"BUILD SCENARIO - ALL ABOVE SEGMENTS, PLUS:","BUILD SCENARIO - ALL ABOVE SEGMENTS, PLUS:",,,,,,,
,O,Hampton Roads Crossing Segment 1 (2 segments),,,,,,,
Freeway,"O1 Proposed EW Conn., I-564 to Hampton Blvd","O1 Proposed EW Conn., I-564 to Hampton Blvd",,,,,,,
Freeway,"O2 Proposed EW Conn., Hampton Blvd to I-664","O2 Proposed EW Conn., Hampton Blvd to I-664",,,,,,,
,P,Hampton Roads Crossing (4 segments),,,,,,,
,P1/O1,"Proposed EW Conn., I-564 to Hampton Blvd",,,,,,,
,P2,"Proposed EW Conn., Hampton Blvd to Craney Island Conn.",,,,,,,
,P3,"Proposed EW Conn., Craney Island Conn. to I-664",,,,,,,
,P4,Proposed Craney Island Conn.,,,,,,,
,Q,Midtown Tunnel and MLK Frwy Extension (1 segment),,,,,,,
,"Q1 MLK Frwy, I-264 to High St","Q1 MLK Frwy, I-264 to High St",,,,,,,
,,,,,,,,,G-15
