Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”,Name: “Table 1 of 1 on page 50 of 55”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,,,,,,,,,,,,
,,,,Table B-6 Daily Travel Pattern – Route 460 Realignment,Table B-6 Daily Travel Pattern – Route 460 Realignment,Table B-6 Daily Travel Pattern – Route 460 Realignment,Table B-6 Daily Travel Pattern – Route 460 Realignment,Table B-6 Daily Travel Pattern – Route 460 Realignment,Table B-6 Daily Travel Pattern – Route 460 Realignment,Table B-6 Daily Travel Pattern – Route 460 Realignment,,,,,
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Work,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"159,927","43,557","27,197","11,470","25,088","1,207",378,"1,717","1,076",9,30,38,62,0,"271,757"
Norfolk,"13,944","170,456","6,173",919,"29,129",148,397,706,"1,196",9,40,41,64,0,"223,221"
Portsmouth,"21,064","16,207","41,884","7,275","2,840",866,54,"1,249",769,6,32,38,53,0,"92,336"
Suffolk,"13,637","5,446","8,327","59,852","1,416","6,049",29,"3,144","1,718",15,69,101,132,0,"99,935"
Virginia Beach,"56,632","114,091","7,210","2,120","373,482",283,"16,980",588,740,6,1,4,26,0,"572,161"
Isle of Wight,"1,090",606,692,"4,558",145,"25,946",3,"2,511","1,315",13,51,70,102,0,"37,102"
Va Bch Waterfront,891,"2,915",153,43,"18,464",7,"6,318",15,21,0,0,0,0,0,"28,828"
Newport News,"1,599","2,777","1,046","2,012",365,"3,240",5,"150,584","34,717",655,"9,781","14,373","17,875",911,"239,938"
