Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”,Name: “Table 1 of 1 on page 33 of 55”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,,,,,,,
,,,,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,Table H-4 Daily Travel Pattern – Midtown Tunnel & MLK Extension,,,,
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Work,,,,,,,,,,,,,,,
,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"159,896","43,280","27,128","12,438","24,726","1,243",354,"1,634","1,015",9,25,22,51,0,"271,820"
Norfolk,"13,281","173,701","4,941",825,"28,275",126,357,585,"1,039",7,16,21,48,0,"223,223"
Portsmouth,"21,615","14,055","42,949","8,012","2,729",905,47,"1,220",747,6,24,25,46,0,"92,379"
Suffolk,"14,826","5,222","9,086","59,373","1,595","5,739",30,"3,207","1,759",16,63,87,129,0,"101,133"
Virginia Beach,"55,814","114,236","6,868","2,318","374,525",289,"16,967",494,633,5,0,0,16,0,"572,164"
Isle of Wight,"1,162",557,740,"4,165",160,"27,644",3,"2,542","1,344",13,44,61,99,1,"38,534"
Va Bch Waterfront,846,"2,815",137,44,"18,553",7,"6,397",12,18,0,0,0,0,0,"28,828"
Newport News,"1,542","2,403",996,"2,108",305,"3,256",3,"151,905","33,783",656,"9,400","13,867","18,094","1,649","239,968"
Hampton,"1,663","7,245","1,063","1,745",961,"2,513",15,"42,043","88,915",649,838,"1,145","3,205",143,"152,144"
Poquoson,93,297,52,97,49,155,0,"3,946","5,257","3,393",267,361,"1,716",99,"15,784"
Williamsburg,1,1,0,1,0,2,0,328,32,1,"6,723","3,435","1,842",30,"12,396"
James City,3,5,1,7,0,15,0,"2,136",210,9,"15,690","40,831","8,018",145,"67,071"
York,168,569,106,213,82,351,0,"21,169","11,219",933,"9,406","9,643","24,750","1,795","80,405"
Gloucester,0,0,0,1,0,2,0,269,48,3,153,173,291,"21,148","22,087"
Total,"270,910","364,388","94,067","91,348","451,959","42,249","24,174","231,491","146,018","5,700","42,649","69,671","58,304","25,010","1,917,936"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Other,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"316,465","48,734","62,103","17,311","103,638","4,588","1,646","10,071","8,942",228,"1,745","1,124","1,826",0,"578,420"
Norfolk,"20,109","347,622","5,859","2,302","91,696",996,"1,060","5,654","7,284",174,737,631,"1,181",1,"485,306"
Portsmouth,"30,606","6,076","127,215","8,578","9,147","1,746",321,"3,839","3,362",70,432,339,605,0,"192,335"
Suffolk,"9,194","2,544","8,255","59,195","5,011","4,299",156,"4,013","3,172",88,608,365,720,16,"97,636"
Virginia Beach,"53,848","95,620","9,375","5,185","849,511","2,189","22,840","6,760","7,568",211,"1,552",950,"1,599",0,"1,057,209"
Isle of Wight,"1,865","1,090","1,507","3,867","2,104","80,499",72,"5,735","4,590",111,709,442,871,51,"103,514"
Va Bch Waterfront,351,675,167,81,"13,896",37,"6,551",102,166,3,34,14,29,0,"22,106"
Newport News,"2,319","3,247","1,955","2,144","3,862","3,734",122,"492,065","94,516","1,971","10,706","6,290","34,664","1,103","658,700"
Hampton,"1,409","2,779","1,141","1,112","3,043","1,849",114,"63,402","257,034","1,591","2,155","1,348","9,547",440,"346,965"
Poquoson,318,513,195,273,658,383,15,"11,291","13,585","16,455",734,553,"6,969",154,"52,096"
Williamsburg,30,33,17,22,68,28,3,775,226,9,"17,916","3,678","3,317",27,"26,147"
James City,570,904,433,452,"1,183",583,22,"11,699","4,450",207,"53,894","116,102","18,673",568,"209,739"
York,502,809,376,453,"1,032",622,35,"39,457","18,782","1,916","15,102","6,712","63,519",402,"149,718"
Gloucester,75,135,63,62,148,74,2,"1,160",597,31,406,253,507,"35,116","38,629"
Total,"437,661","510,779","218,660","101,037","1,084,998","101,626","32,960","656,022","424,275","23,065","106,731","138,802","144,028","37,878","4,018,520"
