Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”,Name: “Table 1 of 1 on page 11 of 55”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,,,,,,,
,,,,,Southeastern Parkway & Greenbelt,Southeastern Parkway & Greenbelt,Southeastern Parkway & Greenbelt,Southeastern Parkway & Greenbelt,,,,,Route 460 Realignment,Route 460 Realignment,Route 460 Realignment,,
,,,,,AM Peak,AM,AM,PM Peak Hour,PM,,,AM Peak,AM,AM,PM Peak Hour,PM,
,,,,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak
,,,,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour
Planning,,,,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS
Analysis,,Segments,,ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS),ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS)
,A,Hampton Roads Beltway (17 Segments),Hampton Roads Beltway (17 Segments),,,,,,,,,,,,,,
Freeway,A1,"I-64, I-664 to Armistead Ave",,"135,500",,,,39.1,"12,200",E,"130,800",,,,36.4,"11,800",E
Freeway,A2,"I-64, Armistead Ave to Hampton Roads Bridge Tunnel","I-64, Armistead Ave to Hampton Roads Bridge Tunnel","111,400",,,,27.8,"10,000",D,"106,200",,,,26.1,"9,600",D
Freeway,A3,Hampton Roads Bridge Tunnel,,"99,300",,,,*,"8,900",F,"92,900",,,,41.9,"8,400",E
Freeway,A4,"I-64, Hampton Roads Bridge Tunnel to I-564","I-64, Hampton Roads Bridge Tunnel to I-564","95,000",,,,44.2,"8,500",E,"90,700",,,,41.3,"8,200",E
Freeway,A5,"I-64, I-564 to Chesapeake Blvd",,"159,900",,,,*,"14,400",F,"151,700",,,,*,"13,700",F
Freeway,A6,"I-64, Chesapeake Blvd to Northampton Blvd","I-64, Chesapeake Blvd to Northampton Blvd","172,100",,,,*,"15,500",F,"164,600",,,,*,"14,800",F
Freeway,A7,"I-64, Northampton Blvd to I-264",,"175,800",,,,36.8,"15,800",E,"168,100",,,,34.1,"15,100",D
Freeway,A8,"I-64, I-264 to Indian River Rd",,"154,700",,,,29.5,"13,900",D,"156,700",,,,30.1,"14,100",D
Freeway,A9,"I-64, Indian River Rd to Greenbrier Pkwy","I-64, Indian River Rd to Greenbrier Pkwy","130,600",,,,23.9,"11,800",C,"147,000",,,,27.4,"13,200",D
Freeway,A10,"I-64, Greenbrier Pkwy to I-464",,"109,700",,,,20.3,"9,900",C,"130,500",,,,23.7,"11,700",C
Freeway,A11,"I-64, I-464 to I-264",,"92,000",,,,42.1,"8,300",E,"94,400",,,,43.5,"8,500",E
Freeway,A12,"I-664, I-264 to Route 58",,"135,100",,,,24.6,"12,200",C,"154,000",,,,29.4,"13,900",D
Freeway,A13,"I-664, Route 58 to Route 164/Western Frwy","I-664, Route 58 to Route 164/Western Frwy","88,400",,,,37.2,"8,000",E,"83,300",,,,33.2,"7,500",D
Freeway,A14,"I-664, Route 164/Western Frwy to proposed EW Conn.","I-664, Route 164/Western Frwy to proposed EW Conn.","68,800",,,,25.3,"6,200",C,"62,800",,,,22.7,"5,600",C
Freeway,A15,"I-664, proposed EW Conn. to 23rd St",,"81,700",,,,32.2,"7,400",D,"74,200",,,,27.8,"6,700",D
Freeway,A16,"I-664, 23rd St to Aberdeen Rd",,"80,300",,,,31.2,"7,200",D,"74,300",,,,28.1,"6,700",D
Freeway,A17,"I-664, Aberdeen Rd to I-64",,"91,100",,,,41.2,"8,200",E,"86,300",,,,36.6,"7,800",E
,B,Midtown Tunnel area (3 segments),,,,,,,,,,,,,,,
Two-Lane,B1,Midtown Tunnel,,"52,200",,,,-,,F,"52,800",,,,-,,F
Freeway,B2,"MLK Frwy, High St to Pinner's Point Conn.","MLK Frwy, High St to Pinner's Point Conn.","29,600",,,,12.7,"2,700",B,,,,,,,
Freeway,"B3 Western Frwy (Route 164, Town Point Rd to MLK Frwy","B3 Western Frwy (Route 164, Town Point Rd to MLK Frwy","B3 Western Frwy (Route 164, Town Point Rd to MLK Frwy","74,900",,,,28.4,"6,700",D,"72,400",,,,27.1,"6,500",D
,C,Route 460 (6 segments),,,,,,,,,,,,,,,
Multi-Lane,C1,I-664 to Route 58 Bypass,,"86,100",-,"6,700",D,-,"7,200",D,"110,900",-,"8,600",E,-,"9,300",E
Freeway,C2,Route 58 Bypass,,,,,,,,,,,,,,,
Multi-Lane,C3,Route 58 Bypass to Windsor,,,,,,,,,"25,100",-,"1,800",B,-,"2,400",B
Multi-Lane,C4,Windsor to Waverly,,,,,,,,,"24,200",-,"1,700",B,-,"2,300",B
Multi-Lane,C5,Waverly to Route 156,,,,,,,,,"23,600",-,"1,700",B,-,"2,300",B
Multi-Lane,C6 Route 156 to I-295,C6 Route 156 to I-295,,,,,,,,,"23,900",-,"1,700",B,-,"2,300",B
,D,Oak Grove Conn. & Dominion Blvd (4 segments),Oak Grove Conn. & Dominion Blvd (4 segments),,,,,,,,,,,,,,
Two-Lane,D1,"Dominion Blvd, Route 17 to Cedar Rd",,"11,900",-,700,E,-,900,E,"12,400",-,800,E,-,"1,000",E
Arterial,D2,"Dominion Blvd, Cedar Rd to Bainbridge",Blvd,"20,700",8.8,"1,600",F,10.7,"1,700",F,"36,800",2.7,"2,900",F,3.0,"3,100",F
Arterial,D3,"Dominion Blvd, Bainbridge Blvd to Great Bridge Blvd","Dominion Blvd, Bainbridge Blvd to Great Bridge Blvd","25,900",8.8,"1,900",F,11.9,"2,100",F,,,,,,,
Freeway,D4 Oak Grove Conn. (from I-64 to Battlefield Blvd),D4 Oak Grove Conn. (from I-64 to Battlefield Blvd),D4 Oak Grove Conn. (from I-64 to Battlefield Blvd),"112,400",,,,*,"10,100",F,"128,500",,,,*,"11,600",F
,E,Hampton Blvd & Brambleton Ave (5 segments),Hampton Blvd & Brambleton Ave (5 segments),,,,,,,,,,,,,,
Arterial,E1,Brambleton Ave to 21st St,,"39,000",6.9,"2,700",F,4.8,"2,900",F,"39,600",6.3,"2,700",F,4.5,"3,000",F
Arterial,E2,38th St to Little Creek Rd,,"37,000",18.9,"2,400",D,18.2,"2,900",D,"36,800",18.9,"2,400",D,18.2,"2,900",D
Arterial,E3,Little Creek Rd to proposed EW Conn.,,"33,900",20.5,"2,400",D,21.3,"2,600",D,"34,400",20.4,"2,400",D,21.2,"2,600",D
