Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”,Name: “Table 1 of 1 on page 32 of 55”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,,,,,,,,,,,
,,,,Table H-3 Daily Travel Pattern – Hampton Roads Crossing,Table H-3 Daily Travel Pattern – Hampton Roads Crossing,Table H-3 Daily Travel Pattern – Hampton Roads Crossing,Table H-3 Daily Travel Pattern – Hampton Roads Crossing,Table H-3 Daily Travel Pattern – Hampton Roads Crossing,Table H-3 Daily Travel Pattern – Hampton Roads Crossing,Table H-3 Daily Travel Pattern – Hampton Roads Crossing,,,,,
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Work,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"161,471","43,145","27,226","12,469","24,235","1,212",344,"1,088",564,5,14,13,35,0,"271,820"
Norfolk,"14,458","167,780","7,179","1,470","29,078",248,365,"1,321","1,203",8,25,28,59,0,"223,223"
Portsmouth,"20,543","18,363","41,049","7,436","2,839",859,49,803,381,4,13,12,29,0,"92,379"
Suffolk,"13,305","8,503","8,356","59,706","1,440","5,578",26,"2,678","1,336",12,46,52,93,0,"101,133"
Virginia Beach,"57,452","109,936","8,045","2,650","375,220",309,"17,021",833,672,5,0,0,18,0,"572,164"
Isle of Wight,"1,056","1,018",704,"4,030",144,"27,816",2,"2,392","1,205",12,34,43,78,1,"38,534"
Va Bch Waterfront,871,"2,667",165,51,"18,622",7,"6,409",19,18,0,0,0,0,0,"28,828"
Newport News,"1,018","5,426",712,"1,726",440,"3,080",5,"151,816","32,634",641,"9,379","13,566","17,881","1,644","239,968"
Hampton,935,"7,409",605,"1,418",910,"2,459",14,"41,498","90,549",661,923,"1,235","3,375",152,"152,144"
Poquoson,55,283,35,83,46,153,0,"3,970","5,308","3,393",271,362,"1,724",102,"15,784"
Williamsburg,0,2,0,1,0,2,0,335,33,1,"6,699","3,450","1,845",29,"12,396"
James City,2,9,1,5,0,14,0,"2,211",225,9,"15,552","40,883","8,017",143,"67,071"
York,112,586,80,178,75,346,0,"21,360","11,316",926,"9,392","9,619","24,649","1,765","80,405"
Gloucester,0,0,0,1,0,2,0,276,50,3,154,174,295,"21,132","22,087"
Total,"271,278","365,127","94,158","91,223","453,049","42,085","24,236","230,600","145,494","5,681","42,503","69,437","58,098","24,968","1,917,936"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Other,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
