Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”,Name: “Table 1 of 1 on page 8 of 55”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,,,,,,,,
,,,,,Hampton Roads Crossing - Segment 1,Hampton Roads Crossing - Segment 1,Hampton Roads Crossing - Segment 1,Hampton Roads Crossing - Segment 1,Hampton Roads Crossing - Segment 1,,,Midtown Tunnel & MLK Extension,Midtown Tunnel & MLK Extension,Midtown Tunnel & MLK Extension,Midtown Tunnel & MLK Extension,,
,,,,,AM Peak,AM,AM,PM Peak Hour,PM,,,AM Peak,AM,AM,PM Peak Hour,PM,
,,,,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak,,Hour Criteria,Peak,Peak,Criteria,Peak,PM Peak
,,,,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour,,(Density4 ),Hour,Hour,(Density4 ),Hour,Hour
Planning,,,,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS,,(Avg Travel,Calc.,LOS,(Avg Travel,Calc.,LOS
Analysis,,Segments,,ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS),ADT,Speed5 ),Volume,(HCS),Speed5 ),Volume,(HCS)
,A,Hampton Roads Beltway (17 Segments),Hampton Roads Beltway (17 Segments),,,,,,,,,,,,,,
Freeway,A1,"I-64, I-664 to Armistead Ave",,"130,500",,,,36.3,"11,700",E,"135,600",,,,39.3,"12,200",E
Freeway,A2,"I-64, Armistead Ave to Hampton Roads Bridge Tunnel","I-64, Armistead Ave to Hampton Roads Bridge Tunnel","106,400",,,,26.2,"9,600",D,"112,100",,,,28.0,"10,100",D
Freeway,A3,Hampton Roads Bridge Tunnel,,"91,900",,,,40.6,"8,300",E,"100,100",,,,*,"9,000",F
Freeway,A4,"I-64, Hampton Roads Bridge Tunnel to I-564","I-64, Hampton Roads Bridge Tunnel to I-564","90,300",,,,41.2,"8,100",E,"94,200",,,,44.5,"8,500",E
Freeway,A5,"I-64, I-564 to Chesapeake Blvd",,"160,400",,,,*,"14,400",F,"159,200",,,,*,"14,300",F
Freeway,A6,"I-64, Chesapeake Blvd to Northampton Blvd","I-64, Chesapeake Blvd to Northampton Blvd","171,700",,,,*,"15,500",F,"169,900",,,,*,"15,300",F
Freeway,A7,"I-64, Northampton Blvd to I-264",,"176,400",,,,37.2,"15,900",E,"174,100",,,,36.1,"15,700",E
Freeway,A8,"I-64, I-264 to Indian River Rd",,"158,000",,,,30.4,"14,200",D,"158,600",,,,30.6,"14,300",D
Freeway,A9,"I-64, Indian River Rd to Greenbrier Pkwy","I-64, Indian River Rd to Greenbrier Pkwy","145,600",,,,27.0,"13,100",D,"146,700",,,,27.3,"13,200",D
Freeway,A10,"I-64, Greenbrier Pkwy to I-464",,"129,900",,,,23.5,"11,700",C,"132,100",,,,23.9,"11,900",C
Freeway,A11,"I-64, I-464 to I-264",,"91,200",,,,40.1,"8,200",E,"94,800",,,,44.4,"8,500",E
Freeway,A12,"I-664, I-264 to Route 58",,"132,200",,,,24.0,"11,900",C,"134,000",,,,24.5,"12,100",C
Freeway,A13,"I-664, Route 58 to Route 164/Western Frwy","I-664, Route 58 to Route 164/Western Frwy","86,100",,,,35.3,"7,700",E,"87,600",,,,36.6,"7,900",E
Freeway,A14,"I-664, Route 164/Western Frwy to proposed EW Conn.","I-664, Route 164/Western Frwy to proposed EW Conn.","66,600",,,,24.4,"6,000",C,"68,500",,,,25.1,"6,200",C
Freeway,A15,"I-664, proposed EW Conn. to 23rd St",,"81,100",,,,32.0,"7,300",D,"81,500",,,,32.2,"7,300",D
Freeway,A16,"I-664, 23rd St to Aberdeen Rd",,"84,300",,,,34.1,"7,600",D,"80,000",,,,31.2,"7,200",D
Freeway,A17,"I-664, Aberdeen Rd to I-64",,"93,400",,,,44.2,"8,400",E,"90,500",,,,40.7,"8,100",E
,B,Midtown Tunnel area (3 segments),,,,,,,,,,,,,,,
Two-Lane,B1,Midtown Tunnel,,"49,100",,,,,,F,"23,600",,,,-,,E
Freeway,B2,"MLK Frwy, High St to Pinner's Point Conn.","MLK Frwy, High St to Pinner's Point Conn.",,,,,,,,"33,700",,,,14.5,"3,000",B
Freeway,"B3 Western Frwy (Route 164, Town Point Rd to MLK Frwy","B3 Western Frwy (Route 164, Town Point Rd to MLK Frwy","B3 Western Frwy (Route 164, Town Point Rd to MLK Frwy","67,300",,,,24.6,"6,100",C,"68,900",,,,25.3,"6,200",C
,C,Route 460 (6 segments),,,,,,,,,,,,,,,
Multi-Lane,C1,I-664 to Route 58 Bypass,,"86,000",,"6,700",D,,"7,200",D,"85,700",-,"6,700",D,-,"7,200",D
Freeway,C2,Route 58 Bypass,,,,,,,,,,,,,,,
Multi-Lane,C3,Route 58 Bypass to Windsor,,,,,,,,,,,,,,,
Multi-Lane,C4,Windsor to Waverly,,,,,,,,,,,,,,,
Multi-Lane,C5,Waverly to Route 156,,,,,,,,,,,,,,,
Multi-Lane,C6 Route 156 to I-295,C6 Route 156 to I-295,,,,,,,,,,,,,,,
,D,Oak Grove Conn. & Dominion Blvd (4 segments),Oak Grove Conn. & Dominion Blvd (4 segments),,,,,,,,,,,,,,
Two-Lane,D1,"Dominion Blvd, Route 17 to Cedar Rd",,"12,300",,800,E,,"1,000",E,"12,200",-,800,E,-,"1,000",E
