Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”,Name: “Table 1 of 1 on page 49 of 55”
Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49,Table: 49
,,,,,,,,,,,,,,,
,,,,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,Table B-5 Daily Travel Pattern – Southeastern Parkway and Greenbelt,,,,
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Work,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"154,737","44,795","27,307","12,525","28,038","1,248",471,"1,602",993,8,25,22,50,0,"271,820"
Norfolk,"13,913","170,433","6,124","1,021","29,392",152,403,613,"1,076",8,17,22,49,0,"223,223"
Portsmouth,"20,828","16,989","40,859","7,721","3,103",870,58,"1,150",705,6,23,24,43,0,"92,379"
Suffolk,"14,495","6,211","8,827","58,999","1,764","5,677",34,"3,123","1,711",15,62,86,127,0,"101,133"
Virginia Beach,"61,602","112,080","7,953","2,740","369,305",349,"16,892",562,658,5,0,0,17,0,"572,164"
Isle of Wight,"1,147",676,728,"4,159",178,"27,583",3,"2,515","1,326",13,44,61,100,1,"38,534"
Va Bch Waterfront,964,"2,822",158,49,"18,525",7,"6,273",12,18,0,0,0,0,0,"28,828"
Newport News,"1,553","2,480",990,"2,115",330,"3,258",4,"151,562","33,852",659,"9,443","13,805","18,230","1,687","239,968"
Hampton,"1,674","7,089","1,067","1,778","1,018","2,559",16,"42,149","88,848",645,844,"1,142","3,177",138,"152,144"
Poquoson,94,291,52,101,52,160,0,"3,930","5,270","3,387",268,358,"1,719",101,"15,784"
Williamsburg,1,1,0,1,0,2,0,325,31,1,"6,716","3,450","1,840",28,"12,396"
James City,3,5,1,7,0,15,0,"2,156",211,8,"15,658","40,853","8,011",144,"67,071"
York,169,562,106,219,86,371,1,"21,378","11,199",939,"9,367","9,627","24,613","1,767","80,405"
Gloucester,0,0,0,1,0,3,0,271,50,3,151,169,294,"21,145","22,087"
Total,"271,180","364,435","94,172","91,436","451,791","42,254","24,156","231,349","145,948","5,698","42,619","69,618","58,271","25,011","1,917,936"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Other,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"316,939","49,203","60,961","17,286","103,834","4,559","1,661","10,038","9,030",227,"1,735","1,114","1,832",0,"578,420"
Norfolk,"20,449","342,670","10,449","2,633","91,269","1,217","1,053","5,612","7,246",173,733,627,"1,174",1,"485,306"
Portsmouth,"29,893","10,481","123,765","8,444","9,282","1,707",310,"3,755","3,286",68,420,332,591,0,"192,335"
Suffolk,"9,157","2,816","8,212","59,071","4,986","4,283",155,"4,002","3,162",88,606,364,718,16,"97,636"
Virginia Beach,"53,875","95,186","9,558","5,182","849,684","2,195","22,843","6,781","7,583",212,"1,555",952,"1,603",0,"1,057,209"
Isle of Wight,"1,847","1,294","1,496","3,851","2,094","80,377",72,"5,724","4,580",111,707,441,868,51,"103,514"
Va Bch Waterfront,351,671,166,82,"13,896",37,"6,555",102,166,3,34,14,29,0,"22,106"
Newport News,"2,319","3,217","1,945","2,145","3,854","3,730",122,"492,128","94,504","1,972","10,708","6,290","34,665","1,102","658,700"
Hampton,"1,412","2,755","1,137","1,113","3,038","1,847",114,"63,433","257,037","1,591","2,155","1,348","9,545",440,"346,965"
Poquoson,322,509,194,273,657,383,15,"11,292","13,587","16,455",734,553,"6,968",154,"52,096"
Williamsburg,30,32,17,22,68,28,3,775,226,9,"17,917","3,677","3,317",27,"26,147"
James City,562,895,430,452,"1,181",583,22,"11,702","4,451",207,"53,904","116,107","18,676",567,"209,739"
York,504,802,374,453,"1,030",622,35,"39,461","18,787","1,916","15,104","6,711","63,518",402,"149,718"
Gloucester,74,133,63,62,148,74,2,"1,161",598,31,406,253,508,"35,115","38,629"
Total,"437,734","510,666","218,767","101,067","1,085,022","101,643","32,961","655,965","424,244","23,063","106,718","138,783","144,014","37,874","4,018,520"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Non Home-Based,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"110,765","19,698","19,083","5,660","34,251","1,338",346,"2,265","1,341",125,194,570,566,131,"196,333"
Norfolk,"19,515","198,219","8,628","1,573","57,520",787,605,"1,843","2,199",82,333,885,626,161,"292,973"
Portsmouth,"19,168","8,754","53,802","4,270","5,525",857,96,"1,083",743,30,143,356,260,62,"95,148"
Suffolk,"5,835","1,641","4,330","22,873","2,122","2,243",43,"1,333",896,40,103,381,264,74,"42,176"
Virginia Beach,"33,945","57,354","5,417","2,036","363,565","1,536","8,369","3,688","2,192",216,231,798,965,229,"480,542"
Isle of Wight,"1,436",852,911,"2,323","1,671","33,399",61,"2,656","1,755",67,102,446,389,97,"46,164"
Va Bch Waterfront,345,604,93,41,"8,362",56,"2,292",112,110,6,8,16,19,7,"12,070"
Newport News,"2,489","2,057","1,199","1,420","4,089","2,642",118,"176,246","37,540","1,799","2,278","6,001","16,088",620,"254,585"
Hampton,"1,437","2,339",789,945,"2,377","1,794",124,"37,302","111,285","1,941",528,"1,342","6,769",446,"169,419"
Poquoson,135,87,32,44,237,79,6,"1,784","1,952","2,871",51,126,"1,192",38,"8,633"
Williamsburg,223,378,162,114,264,109,9,"2,381",563,55,"14,374","11,388","4,744",101,"34,866"
James City,655,995,405,422,913,477,18,"6,206","1,425",134,"11,396","65,171","7,324",388,"95,929"
York,627,707,289,283,"1,078",401,21,"16,265","6,878","1,214","4,720","7,278","22,635",200,"62,593"
Gloucester,151,214,90,100,230,141,6,807,286,37,112,294,485,"13,477","16,429"
Total,"196,726","293,897","95,229","42,105","482,202","45,859","12,113","253,971","169,164","8,616","34,573","95,050","62,325","16,029","1,807,860"
,,,,,,,,,,,,,,,ADD-B-5
