Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”,Name: “Table 1 of 1 on page 34 of 55”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,,,,,,,,
,,,,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,Table H-5 Daily Travel Pattern – Southeastern Parkway & Greenbelt,,,,
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Work,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"159,478","42,359","26,522","12,168","26,973","1,221",471,"1,558",975,8,22,18,47,0,"271,820"
Norfolk,"12,921","171,734","6,235","1,028","28,987",152,386,613,"1,069",8,18,23,50,0,"223,223"
Portsmouth,"20,062","17,040","41,612","7,786","3,000",876,56,"1,151",707,6,19,21,42,0,"92,379"
Suffolk,"14,068","6,219","8,975","59,315","1,715","5,698",34,"3,107","1,727",16,58,77,124,0,"101,133"
Virginia Beach,"59,108","113,250","7,640","2,579","371,131",325,"16,933",526,649,5,0,0,17,0,"572,164"
Isle of Wight,"1,096",672,733,"4,197",172,"27,611",3,"2,501","1,343",13,41,54,96,1,"38,534"
Va Bch Waterfront,950,"2,822",158,51,"18,544",7,"6,265",12,18,0,0,0,0,0,"28,828"
Newport News,"1,500","2,477",997,"2,123",318,"3,235",4,"151,667","33,980",659,"9,378","13,798","18,142","1,689","239,968"
Hampton,"1,615","7,027","1,087","1,798",978,"2,576",15,"42,220","88,796",649,849,"1,155","3,228",151,"152,144"
Poquoson,90,289,53,101,50,161,0,"3,936","5,251","3,394",263,354,"1,733",109,"15,784"
Williamsburg,1,1,0,1,0,2,0,321,31,1,"6,724","3,447","1,840",27,"12,396"
James City,3,5,1,6,0,14,0,"2,121",212,8,"15,696","40,844","8,022",138,"67,071"
York,161,558,108,219,83,362,1,"21,372","11,164",929,"9,391","9,644","24,637","1,777","80,405"
Gloucester,0,0,0,1,0,2,0,272,50,3,152,170,293,"21,142","22,087"
Total,"271,053","364,455","94,122","91,372","451,950","42,242","24,168","231,378","145,971","5,698","42,612","69,607","58,272","25,035","1,917,936"
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Other,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"317,131","48,916","61,146","17,370","103,313","4,611","1,668","10,181","9,111",226,"1,750","1,128","1,870",0,"578,420"
Norfolk,"20,377","342,751","10,407","2,623","91,357","1,213","1,052","5,598","7,228",173,731,625,"1,171",1,"485,306"
