Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”,Name: “Table 1 of 1 on page 31 of 55”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,,,,,,
,,,,"Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I","Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I","Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I","Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I","Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I","Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I","Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I","Table H-2 Daily Travel Pattern – Hampton Roads Crossing, Segment I",,,,
,,,,,Virginia,,Va Bch,Newport,,,,,,,
Home-Based Work,Chesapeake,Norfolk,Portsmouth,Suffolk,Beach,Isle of Wight,Waterfront,News,Hampton,Poquoson,Williamsburg,James City,York,Gloucester,
,1,2,3,4,5,6,7,11,12,13,14,15,16,17,Total
Chesapeake,"159,944","43,340","27,193","12,719","24,327","1,270",343,"1,594",992,8,23,19,48,0,"271,820"
Norfolk,"14,463","167,810","6,908","1,530","29,016",242,357,"1,350","1,412",10,28,31,65,0,"223,223"
Portsmouth,"20,837","17,005","41,064","7,900","2,712",887,47,"1,141",696,6,21,23,42,0,"92,379"
Suffolk,"13,694","8,900","8,309","58,242","1,501","5,627",27,"2,941","1,627",15,56,78,117,0,"101,133"
Virginia Beach,"57,421","109,562","7,872","2,740","375,526",345,"17,029",853,788,6,0,0,21,0,"572,164"
Isle of Wight,"1,106",962,700,"4,134",154,"27,520",3,"2,443","1,308",13,41,57,93,1,"38,534"
Va Bch Waterfront,870,"2,618",159,51,"18,653",8,"6,431",19,21,0,0,0,0,0,"28,828"
Newport News,"1,398","6,044",892,"2,000",456,"3,148",6,"149,796","33,044",654,"9,258","13,662","17,983","1,627","239,968"
Hampton,"1,597","8,111","1,007","1,725",990,"2,517",14,"41,882","88,431",645,812,"1,109","3,165",140,"152,144"
Poquoson,89,369,51,99,49,160,0,"3,931","5,266","3,374",258,349,"1,693",97,"15,784"
Williamsburg,1,3,0,1,0,2,0,340,33,1,"6,701","3,437","1,845",31,"12,396"
James City,3,15,1,8,0,16,0,"2,178",217,9,"15,704","40,743","8,033",145,"67,071"
York,167,753,104,215,87,355,1,"21,301","11,346",930,"9,315","9,562","24,554","1,715","80,405"
Gloucester,0,1,0,1,0,2,0,279,50,3,154,175,296,"21,126","22,087"
Total,"271,589","365,493","94,260","91,366","453,471","42,100","24,257","230,047","145,230","5,673","42,371","69,244","57,954","24,882","1,917,936"
