Name: “Table 1 of 1 on page 7 of 24”,Name: “Table 1 of 1 on page 7 of 24”,Name: “Table 1 of 1 on page 7 of 24”,Name: “Table 1 of 1 on page 7 of 24”,Name: “Table 1 of 1 on page 7 of 24”,Name: “Table 1 of 1 on page 7 of 24”,Name: “Table 1 of 1 on page 7 of 24”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",
  Godwin Bridge,  Godwin Bridge,,,,,
Dates Collected:  10/19/2011 & 10/20/2011,Dates Collected:  10/19/2011 & 10/20/2011,Dates Collected:  10/19/2011 & 10/20/2011,,,,
Godwin Bridge - Northbound,Godwin Bridge - Northbound,Godwin Bridge - Northbound,,Godwin Bridge - Southbound,Godwin Bridge - Southbound,Godwin Bridge - Southbound
Time Start,Wednesday,Thursday,,Time Start,Wednesday,Thursday
0:00,40,49,,0:00,37,23
1:00,26,31,,1:00,20,35
2:00,14,31,,2:00,23,28
3:00,31,23,,3:00,24,29
4:00,46,53,,4:00,102,116
5:00,152,160,,5:00,376,379
6:00,311,332,,6:00,711,777
7:00,422,477,,7:00,943,898
,,,1,,,
8:00,408,482,01,8:00,762,793
,,,2,,,
9:00,413,417,0/,9:00,647,667
10:00,429,479,/2,10:00,521,579
,,,0,,,
11:00,454,582,1,11:00,501,526
,,,&,,,
12:00,562,511,1,12:00,507,552
,,,1,,,
13:00,946,544,20,13:00,533,549
,,,/,,,
14:00,770,622,19,14:00,464,566
15:00,796,792,0/,15:00,587,667
,,,1,,,
16:00,"1,017",971,,16:00,698,735
17:00,"1,015","1,023",,17:00,642,781
18:00,751,801,,18:00,520,573
19:00,509,546,,19:00,340,341
20:00,372,397,,20:00,228,223
21:00,300,328,,21:00,167,191
22:00,156,192,,22:00,94,112
23:00,90,102,,23:00,46,68
Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,,,,
