Name: “Table 1 of 1 on page 18 of 24”,Name: “Table 1 of 1 on page 18 of 24”,Name: “Table 1 of 1 on page 18 of 24”,Name: “Table 1 of 1 on page 18 of 24”,Name: “Table 1 of 1 on page 18 of 24”,Name: “Table 1 of 1 on page 18 of 24”,Name: “Table 1 of 1 on page 18 of 24”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",
  Chesapeake Expressway Bridge,  Chesapeake Expressway Bridge,  Chesapeake Expressway Bridge,,,,
Dates Collected:  9/13/2011 & 9/14/2011,Dates Collected:  9/13/2011 & 9/14/2011,Dates Collected:  9/13/2011 & 9/14/2011,,,,
Chesapeake Exp Bridge - Northbound,Chesapeake Exp Bridge - Northbound,Chesapeake Exp Bridge - Northbound,Chesapeake Exp Bridge - Southbound,Chesapeake Exp Bridge - Southbound,Chesapeake Exp Bridge - Southbound,Chesapeake Exp Bridge - Southbound
Time Start,Tuesday,Wednesday,,Time Start,Tuesday,Wednesday
0:00,103,106,,0:00,251,227
1:00,49,55,,1:00,87,99
2:00,46,53,,2:00,63,63
3:00,103,82,,3:00,69,95
4:00,405,396,,4:00,126,114
5:00,"1,432","1,476",,5:00,324,344
6:00,"3,270","3,304",,6:00,826,835
7:00,"4,444","4,464",,7:00,"1,249","1,305"
8:00,"3,357","3,388",11,8:00,"1,191","1,107"
,,,0,,,
9:00,"1,965","1,954",/2,9:00,"1,067","1,135"
10:00,"1,538","1,604",14,10:00,"1,120","1,176"
,,,/,,,
11:00,"1,475","1,614",9,11:00,"1,323","1,275"
,,,&,,,
12:00,"1,583","1,487",1,12:00,"1,440","1,561"
,,,1,,,
13:00,"1,491","1,468",20,13:00,"1,528","1,596"
14:00,"1,478","1,532",13/,14:00,"1,984","2,031"
15:00,"1,735","1,710",9/,15:00,"2,923","2,952"
16:00,"1,820","1,811",,16:00,"3,863","3,853"
17:00,"1,754","1,754",,17:00,"4,265","4,053"
18:00,"1,479","1,591",,18:00,"2,552","2,634"
19:00,"1,075","1,039",,19:00,"1,582","1,623"
20:00,757,702,,20:00,"1,213","1,238"
21:00,509,511,,21:00,907,965
22:00,295,343,,22:00,527,632
23:00,208,192,,23:00,354,357
Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,,,,
