Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”,Name: “Table 1 of 1 on page 8 of 24”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,,,,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",,,,,,,,,,
  Monitor-Merrimac Memorial Bridge-Tunnel,  Monitor-Merrimac Memorial Bridge-Tunnel,  Monitor-Merrimac Memorial Bridge-Tunnel,  Monitor-Merrimac Memorial Bridge-Tunnel,,,,,,,,,,,,
Year:  2012,,,,,,,,,,,,,,,
,,,MMMBT - Northbound,MMMBT - Northbound,,,,,,,MMMBT - Southbound,MMMBT - Southbound,,,
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,282,248,261,305,299,405,399,0:00,328,438,465,467,517,650,474
1:00,168,150,159,173,179,249,261,1:00,177,163,169,177,207,353,317
2:00,131,133,127,150,154,229,227,2:00,128,127,131,175,170,283,267
3:00,175,161,155,175,179,187,167,3:00,143,134,129,149,167,202,157
4:00,522,529,511,569,546,387,192,4:00,293,289,292,309,334,202,135
5:00,"1,603","1,614","1,539","1,631","1,607",759,373,5:00,955,919,948,995,"1,012",436,227
6:00,"2,717","2,747","2,682","2,841","2,544","1,013",576,6:00,"1,888","1,870","1,846","1,927","1,798",750,415
7:00,"3,009","3,038","2,896","3,096","2,915","1,372",784,7:00,"2,095","2,057","1,978","2,030","1,903","1,151",570
8:00,"2,153","2,233","2,056","2,225","2,106","1,670","1,027",8:00,"1,633","1,637","1,531","1,620","1,572","1,494",780
9:00,"1,650","1,580","1,617","1,732","1,776","1,904","1,457",9:00,"1,305","1,382","1,185","1,342","1,411","1,752","1,104"
10:00,"1,578","1,350","1,449","1,605","1,781","2,031","1,670",10:00,"1,270","1,225","1,258","1,339","1,464","1,656","1,376"
11:00,"1,521","1,436","1,540","1,640","1,898","2,239","1,935",11:00,"1,371","1,291","1,345","1,438","1,656","1,613","1,475"
12:00,"1,584","1,474","1,523","1,674","2,107","2,121","2,070",12:00,"1,486","1,419","1,392","1,506","1,924","1,740","1,591"
13:00,"1,581","1,532","1,586","1,676","2,082","2,244","2,082",13:00,"1,578","1,490","1,423","1,613","2,017","1,951","1,638"
14:00,"1,791","1,822","1,896","2,105","2,488","2,059","2,034",14:00,"2,171","2,119","2,075","2,219","2,677","2,497","1,749"
15:00,"2,015","2,109","2,041","2,339","2,606","1,786","1,923",15:00,"2,919","2,983","2,820","3,101","3,286","2,438","1,754"
16:00,"2,317","2,517","2,399","2,629","2,379","1,666","1,780",16:00,"3,234","3,336","3,189","3,361","3,137","2,272","1,719"
17:00,"2,112","2,264","2,242","2,437","2,330","1,516","1,594",17:00,"2,873","2,826","2,823","2,950","2,852","2,239","1,666"
18:00,"1,648","1,644","1,719","1,859","2,089","1,371","1,465",18:00,"1,545","1,844","1,743","2,028","2,143","2,011","1,497"
19:00,"1,002","1,087","1,181","1,228","1,628","1,158","1,145",19:00,"1,070","1,131","1,141","1,258","1,427","1,484","1,257"
20:00,790,777,888,956,"1,174","1,045",994,20:00,826,901,988,999,"1,276","1,171","1,087"
