Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”,Name: “Table 1 of 1 on page 12 of 24”
Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12,Table: 12
,,,,,,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",,,,,,
  Berkley Bridge,  Berkley Bridge,,,,,,,Two-day counts supplied here b/c of errors in WB continuous counts.,Two-day counts supplied here b/c of errors in WB continuous counts.,Two-day counts supplied here b/c of errors in WB continuous counts.,Two-day counts supplied here b/c of errors in WB continuous counts.
Year:  2011,,,,,,,,Year:  2006,,,
,,,Berkley Bridge - Eastbound,Berkley Bridge - Eastbound,,,,Berkley Bridge - Westbound,Berkley Bridge - Westbound,Berkley Bridge - Westbound,
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,08/22/06,08/23/06,Weekday
0:00,629,551,599,572,642,998,969,0:00,697,688,693
1:00,364,313,332,345,406,642,626,1:00,422,420,421
2:00,287,272,273,302,356,597,555,2:00,282,268,275
3:00,288,301,301,317,358,422,363,3:00,268,264,266
4:00,615,595,602,619,635,430,321,4:00,697,705,701
5:00,"2,133","2,238","2,307","2,267","2,109",911,553,5:00,"2,567","2,731","2,649"
6:00,"4,333","4,599","4,658","4,649","4,337","1,687",943,6:00,"4,136","3,946","4,041"
7:00,"5,158","5,493","5,548","5,553","5,250","2,156","1,282",7:00,"3,332","3,119","3,226"
8:00,"4,544","4,930","5,050","5,041","4,584","2,571","1,355",8:00,"2,849","3,037","2,943"
9:00,"3,215","3,534","3,593","3,431","3,451","2,760","1,964",9:00,"2,920","2,660","2,790"
10:00,"3,142","3,405","3,372","3,529","3,688","3,022","2,546",10:00,"2,782","2,488","2,635"
11:00,"3,234","3,360","3,395","3,426","3,714","3,150","2,633",11:00,"2,346","2,429","2,388"
12:00,"3,322","3,423","3,445","3,572","3,777","3,526","2,881",12:00,"3,032","2,855","2,944"
