Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”,Name: “Table 1 of 1 on page 5 of 24”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",,,,,,,,,,
  James River Bridge,  James River Bridge,,,,,,,,,,,,,,
Year:  2012,,,,,,,,,,,,,,,
,,James River Bridge - Northbound,James River Bridge - Northbound,James River Bridge - Northbound,,,,,,James River Bridge - Southbound,James River Bridge - Southbound,James River Bridge - Southbound,,,
Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0:00,69,74,81,84,100,126,126,0:00,114,207,229,220,240,300,208
1:00,44,72,93,102,100,110,86,1:00,62,73,78,90,102,151,132
2:00,38,64,72,71,73,89,61,2:00,44,47,55,66,71,100,103
3:00,66,73,80,87,82,79,48,3:00,35,33,36,39,49,69,55
4:00,272,294,301,308,290,168,84,4:00,79,92,90,99,94,75,47
5:00,905,"1,018","1,029","1,039",982,345,186,5:00,260,298,306,315,281,133,70
6:00,"1,448","1,650","1,697","1,658","1,504",396,203,6:00,387,423,436,447,413,212,118
