Name: “Table 1 of 1 on page 17 of 24”,Name: “Table 1 of 1 on page 17 of 24”,Name: “Table 1 of 1 on page 17 of 24”,Name: “Table 1 of 1 on page 17 of 24”,Name: “Table 1 of 1 on page 17 of 24”,Name: “Table 1 of 1 on page 17 of 24”,Name: “Table 1 of 1 on page 17 of 24”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,
"Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction","Annual Average Volumes by Day of Week, Time of Day, Season, and Direction",
  Great Bridge Bridge,  Great Bridge Bridge,,,,,
Dates Collected:  5/25/2011 & 5/26/2011,Dates Collected:  5/25/2011 & 5/26/2011,Dates Collected:  5/25/2011 & 5/26/2011,,,,
Great Bridge Bridge - Northbound,Great Bridge Bridge - Northbound,Great Bridge Bridge - Northbound,,Great Bridge Bridge - Southbound,Great Bridge Bridge - Southbound,Great Bridge Bridge - Southbound
Time Start,Wednesday,Thursday,,Time Start,Wednesday,Thursday
0:00,100,95,,0:00,127,126
1:00,51,54,,1:00,60,61
2:00,27,39,,2:00,41,101
3:00,24,38,,3:00,36,44
4:00,81,74,,4:00,55,48
5:00,265,299,,5:00,112,122
6:00,880,943,,6:00,366,393
7:00,"1,699","1,737",,7:00,872,830
8:00,"1,247","1,291",11,8:00,"1,032","1,000"
,,,0,,,
9:00,"1,040","1,104",/2,9:00,942,952
10:00,"1,018",997,26,10:00,970,981
,,,/,,,
11:00,975,"1,064",5,11:00,"1,028","1,101"
,,,&,,,
12:00,"1,036","1,063",1,12:00,"1,236","1,225"
,,,1,,,
13:00,"1,041","1,034",20,13:00,"1,156","1,206"
14:00,950,"1,084",25/,14:00,"1,251","1,388"
15:00,"1,013","1,079",5/,15:00,"1,577","1,643"
16:00,"1,119","1,110",,16:00,"1,798","1,712"
17:00,"1,139","1,146",,17:00,"1,946","1,690"
18:00,962,916,,18:00,"1,361","1,448"
19:00,723,736,,19:00,"1,045","1,035"
20:00,681,648,,20:00,889,862
21:00,452,523,,21:00,637,720
22:00,260,276,,22:00,397,478
23:00,170,187,,23:00,195,305
Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,Source:  HRTPO analysis of VDOT raw count station data.,,,,
