Name: “Table 1 of 1 on page 24 of 24”,Name: “Table 1 of 1 on page 24 of 24”,Name: “Table 1 of 1 on page 24 of 24”,Name: “Table 1 of 1 on page 24 of 24”,Name: “Table 1 of 1 on page 24 of 24”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,
Capacities,,,,
source: volumes and calculations on sheets in this workbook,source: volumes and calculations on sheets in this workbook,source: volumes and calculations on sheets in this workbook,,
"Note: Some of these capacities are a function of nearby signals, and not the subject structure itself.","Note: Some of these capacities are a function of nearby signals, and not the subject structure itself.","Note: Some of these capacities are a function of nearby signals, and not the subject structure itself.","Note: Some of these capacities are a function of nearby signals, and not the subject structure itself.",
JRB,NB,"2,500",vehicles per hour,
JRB,SB,"2,300",vehicles per hour,
Hazelwood,EB or WB,"2,000",vehicles per hour,
Godwin,EB or WB,"2,000",vehicles per hour,
MMMBT,NB or SB,"3,500",vehicles per hour,
HRBT,EB or WB,"3,250",vehicles per hour,
MTT,EB or WB,"1,500",vehicles per hour,
DTT,EB or WB,"3,300",vehicles per hour,
Berkley,EB or WB,"5,600",vehicles per hour,
Gilmerton (now),EB or WB,"1,200",vehicles per hour,
Gilmerton (4 ln's),EB or WB,"2,200",vehicles per hour,
High Rise,EB or WB,"4,000",vehicles per hour,
Steel,NB,"1,500",vehicles per hour,
Steel,SB,"1,300",vehicles per hour,
Great Bridge Br,NB or SB,"2,400",vehicles per hour,
Ches Exp Br,NB or SB,"4,400",vehicles per hour,
Centerville Tnpk Br,NB or SB,"1,400",vehicles per hour,
SNJB,EB or WB,"1,400",vehicles per hour,
Hampton Roads Transportation Planning Organization (HRTPO),Hampton Roads Transportation Planning Organization (HRTPO),Hampton Roads Transportation Planning Organization (HRTPO),8/1/2013,Capacities (based largely on hourly volumes for 366 days).xlsx
